punit
WINNER
Conquer the continents of NORTH AMERICA and AFRICA., Turn 1, Turn 2, Turn 3, Turn 4, Turn 5, Turn 6, Turn 7, Turn 8, Turn 9, Turn 10, Turn 11, Turn 12, Turn 13, Turn 14, Turn 15, Turn 16, Turn 17, Turn 18, Turn 19, Turn 20, Turn 21, Turn 22, Turn 23, Turn 24, Turn 25, Turn 26, Turn 27, Turn 28, Turn 29, Turn 30, Turn 31, Turn 32, Turn 33, Turn 34, Turn 35, Turn 36, Turn 37, Turn 38, Turn 39, Turn 40, Turn 41, Turn 42, Turn 43, Turn 44, Turn 45, Turn 46, Turn 47, Turn 48, Turn 49, Turn 50, Turn 51, Turn 52, Turn 53, Turn 54, Turn 55, Turn 56, Turn 57, Turn 58, Turn 59, Turn 60, Turn 61, Turn 62, Turn 63, Turn 64, Turn 65, Turn 66, Turn 67
Occupy-Europe-South-America-Asia, 0.08333333333333333, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.08220350698432313, 0.08220350698432313, 0.08163312201511416, 0.08163312201511416, 0.08163312201511416, 0.08105919859403225, 0.08105919859403225, 0.08105919859403225, 0.08048182189019053, 0.08048182189019053, 0.08048182189019053, 0.07990107951832677, 0.07990107951832677, 0.07990107951832677, 0.07990107951832677, 0.07931706149900246, 0.07931706149900246, 0.07872986021534303, 0.07872986021534303, 0.07872986021534303, 0.0782051998196888, 0.0782051998196888, 0.0782051998196888, 0.07664109731494084, 0.07767699164842663, 0.07767699164842663, 0.07714530846883527, 0.07714530846883527, 0.07714530846883527, 0.07661022543614408, 0.07661022543614408, 0.07661022543614408, 0.07607182006603672, 0.07607182006603672, 0.07607182006603672, 0.07553017220390723, 0.07553017220390723, 0.07553017220390723, 0.0749853639908627, 0.0749853639908627, 0.0749853639908627, 0.07443747982647245, 0.07443747982647245, 0.07443747982647245, 0.0738866063282727, 0.0738866063282727, 0.0738866063282727, 0.0738866063282727, 0.07333283228804152, 0.07333283228804152, 0.07277624862486763, 0.07277624862486763, 0.07277624862486763, 0.07221694833504382, 0.07221694833504382, 0.07221694833504382, 0.07077261074577192, 0.07165502643882324, 0.07012265900188976, 0.020373057313466027, 0.019871669919383547, 0.019559801754175217
Occupy-North-America-Africa, 0.08333333333333333, 0.08445945837098895, 0.08445945837098895, 0.08445945837098895, 0.08445945837098895, 0.08559298603135368, 0.08559298603135368, 0.08673375596977172, 0.08673375596977172, 0.08673375596977172, 0.08788160281193548, 0.08788160281193548, 0.08788160281193548, 0.089036356219619, 0.089036356219619, 0.089036356219619, 0.09019784096334643, 0.09019784096334643, 0.09019784096334643, 0.09019784096334643, 0.09136587700199511, 0.09136587700199511, 0.09254027956931392, 0.09254027956931392, 0.09254027956931392, 0.0937995754508473, 0.0937995754508473, 0.0937995754508473, 0.0950673867439662, 0.0950673867439662, 0.0950673867439662, 0.09634353879181617, 0.09634353879181617, 0.09634353879181617, 0.09762785120595621, 0.09762785120595621, 0.09762785120595621, 0.09892013793235604, 0.09892013793235604, 0.09892013793235604, 0.1002202073251876, 0.1002202073251876, 0.1002202073251876, 0.10152786222842652, 0.10152786222842652, 0.10152786222842652, 0.10284290006526116, 0.10284290006526116, 0.10284290006526116, 0.10416511293529065, 0.10416511293529065, 0.10416511293529065, 0.10416511293529065, 0.10549428771947388, 0.10549428771947388, 0.10683020619277427, 0.10683020619277427, 0.10683020619277427, 0.1081726451444265, 0.1081726451444265, 0.1081726451444265, 0.1081726451444265, 0.10952137650573233, 0.11164317858321837, 0.25020685299931805, 0.2541120091513376, 0.25512642161264404
rizwan
LOSER
Conquer the continents of EUROPE and AUSTRALIA and a third continent of your choice., Turn 1, Turn 2, Turn 3, Turn 4, Turn 5, Turn 6, Turn 7, Turn 8, Turn 9, Turn 10, Turn 11, Turn 12, Turn 13, Turn 14, Turn 15, Turn 16, Turn 17, Turn 18, Turn 19, Turn 20, Turn 21, Turn 22, Turn 23, Turn 24, Turn 25, Turn 26, Turn 27, Turn 28, Turn 29, Turn 30, Turn 31, Turn 32, Turn 33, Turn 34, Turn 35, Turn 36, Turn 37, Turn 38, Turn 39, Turn 40, Turn 41, Turn 42, Turn 43, Turn 44, Turn 45, Turn 46, Turn 47, Turn 48, Turn 49, Turn 50, Turn 51, Turn 52, Turn 53, Turn 54, Turn 55, Turn 56, Turn 57, Turn 58, Turn 59, Turn 60, Turn 61, Turn 62, Turn 63, Turn 64, Turn 65, Turn 66, Turn 67
Occupy-Europe-Australia-Asia, 0.08333333333333333, 0.08333333333333333, 0.08389261691270983, 0.08389261691270983, 0.08389261691270983, 0.08473714402193169, 0.08473714402193169, 0.08473714402193169, 0.08529529383790907, 0.08529529383790907, 0.08529529383790907, 0.08645474914953594, 0.08645474914953594, 0.08645474914953594, 0.08701837477583181, 0.08701837477583181, 0.08701837477583181, 0.08757790365304856, 0.08757790365304856, 0.08757790365304856, 0.0881332673567727, 0.0881332673567727, 0.0881332673567727, 0.08932911823786441, 0.08932911823786441, 0.08932911823786441, 0.09053296156128689, 0.09053296156128689, 0.09053296156128689, 0.09174462961382994, 0.09174462961382994, 0.09174462961382994, 0.09174462961382994, 0.09265875208589332, 0.09265875208589332, 0.09265875208589332, 0.09324118765041245, 0.09324118765041245, 0.09381912250865447, 0.09381912250865447, 0.09381912250865447, 0.09439249206429372, 0.09439249206429372, 0.09439249206429372, 0.09439249206429372, 0.09565649937731983, 0.09565649937731983, 0.09692850708332697, 0.09692850708332697, 0.09692850708332697, 0.09751673014571388, 0.09751673014571388, 0.09751673014571388, 0.09751673014571388, 0.0981001568588313, 0.0981001568588313, 0.0981001568588313, 0.09939975321084309, 0.09939975321084309, 0.09939975321084309, 0.09998812707496879, 0.09998812707496879, 0.10057153081853955, 0.10279783878133751, 0.10467555022471144, 0.11277539428223739, 0.11440727237279429
Occupy-Europe-South-America-North-America, 0.08333333333333333, 0.08333333333333333, 0.08389261691270983, 0.08389261691270983, 0.08389261691270983, 0.08304240275772581, 0.08304240275772581, 0.08304240275772581, 0.0835893895880295, 0.0835893895880295, 0.0835893895880295, 0.08303114431524156, 0.08303114431524156, 0.08303114431524156, 0.08357245038780672, 0.08357245038780672, 0.08357245038780672, 0.08410982194240314, 0.08410982194240314, 0.08410982194240314, 0.08464319326422154, 0.08464319326422154, 0.08464319326422154, 0.08407585636157179, 0.08407585636157179, 0.08407585636157179, 0.08350472767555821, 0.08350472767555821, 0.08350472767555821, 0.08292988677286818, 0.08292988677286818, 0.08292988677286818, 0.08127129061917288, 0.08208105914078867, 0.08208105914078867, 0.08208105914078867, 0.08259700530821253, 0.08259700530821253, 0.08310896455880672, 0.08310896455880672, 0.08310896455880672, 0.08361687967040164, 0.08361687967040164, 0.08361687967040164, 0.08361687967040164, 0.08304186084400517, 0.08304186084400517, 0.08246320250022988, 0.08246320250022988, 0.08246320250022988, 0.08296364100865773, 0.08296364100865773, 0.08296364100865773, 0.08296364100865773, 0.08345999895984835, 0.08345999895984835, 0.08345999895984835, 0.08287433631248402, 0.08287433631248402, 0.08287433631248402, 0.08336489179092267, 0.08336489179092267, 0.08385130344174527, 0.08392615392147258, 0.08043347681089874, 0.11239679558843453, 0.11183218124520283
Occupy-Europe-South-America-Africa, 0.08333333333333333, 0.08333333333333333, 0.08389261691270983, 0.08389261691270983, 0.08389261691270983, 0.08304240275772581, 0.08304240275772581, 0.08304240275772581, 0.0835893895880295, 0.0835893895880295, 0.0835893895880295, 0.08303114431524156, 0.08303114431524156, 0.08303114431524156, 0.08357245038780672, 0.08357245038780672, 0.08357245038780672, 0.08410982194240314, 0.08410982194240314, 0.08410982194240314, 0.08464319326422154, 0.08464319326422154, 0.08464319326422154, 0.08407585636157179, 0.08407585636157179, 0.08407585636157179, 0.08350472767555821, 0.08350472767555821, 0.08350472767555821, 0.08292988677286818, 0.08292988677286818, 0.08292988677286818, 0.08127129061917288, 0.08208105914078867, 0.08208105914078867, 0.08208105914078867, 0.08259700530821253, 0.08259700530821253, 0.08310896455880672, 0.08310896455880672, 0.08310896455880672, 0.08361687967040164, 0.08361687967040164, 0.08361687967040164, 0.08361687967040164, 0.08304186084400517, 0.08304186084400517, 0.08246320250022988, 0.08246320250022988, 0.08246320250022988, 0.08296364100865773, 0.08296364100865773, 0.08296364100865773, 0.08296364100865773, 0.08345999895984835, 0.08345999895984835, 0.08345999895984835, 0.08287433631248402, 0.08287433631248402, 0.08287433631248402, 0.08336489179092267, 0.08336489179092267, 0.08385130344174527, 0.08395973775251742, 0.0854933513209497, 0.1007230570800594, 0.10021708462396031
Occupy-Asia-Africa, 0.08333333333333333, 0.08333333333333333, 0.0822147661745803, 0.0822147661745803, 0.0822147661745803, 0.08138155628647943, 0.08138155628647943, 0.08138155628647943, 0.08027925288525209, 0.08027925288525209, 0.08027925288525209, 0.08137052301263013, 0.08137052301263013, 0.08137052301263013, 0.08026298447672488, 0.08026298447672488, 0.08026298447672488, 0.07916349615583003, 0.07916349615583003, 0.07916349615583003, 0.07807219250563963, 0.07807219250563963, 0.07807219250563963, 0.07913152802100965, 0.07913152802100965, 0.07913152802100965, 0.08019794358134966, 0.08019794358134966, 0.08019794358134966, 0.08127129061917288, 0.08127129061917288, 0.08127129061917288, 0.07964586635691627, 0.08043943952354485, 0.08043943952354485, 0.08043943952354485, 0.07932616698581652, 0.07932616698581652, 0.07822149713824647, 0.07822149713824647, 0.07822149713824647, 0.0771255534508282, 0.0771255534508282, 0.0771255534508282, 0.0771255534508282, 0.07815833965501731, 0.07815833965501731, 0.0791976627640279, 0.0791976627640279, 0.0791976627640279, 0.07808471976744846, 0.07808471976744846, 0.07808471976744846, 0.07808471976744846, 0.07698085166723048, 0.07698085166723048, 0.07698085166723048, 0.07800066689693963, 0.07800066689693963, 0.07800066689693963, 0.07689312783599632, 0.07689312783599632, 0.07579494439566745, 0.07446442407309749, 0.0758245956765465, 0.01625724674653233, 0.016499091345215745
Occupy-Europe-Australia-South-America, 0.08333333333333333, 0.08333333333333333, 0.08389261691270983, 0.08389261691270983, 0.08389261691270983, 0.08473714402193169, 0.08473714402193169, 0.08473714402193169, 0.08529529383790907, 0.08529529383790907, 0.08529529383790907, 0.0847256558155387, 0.0847256558155387, 0.0847256558155387, 0.08527800894005898, 0.08527800894005898, 0.08527800894005898, 0.08582634725040356, 0.08582634725040356, 0.08582634725040356, 0.08637060369064593, 0.08637060369064593, 0.08637060369064593, 0.08579168849512775, 0.08579168849512775, 0.08579168849512775, 0.08520890413298708, 0.08520890413298708, 0.08520890413298708, 0.08462233179471967, 0.08462233179471967, 0.08462233179471967, 0.08462233179471967, 0.08546548932293205, 0.08546548932293205, 0.08546548932293205, 0.08600270938471921, 0.08600270938471921, 0.08653577813801568, 0.08653577813801568, 0.08653577813801568, 0.08706463600122276, 0.08706463600122276, 0.08706463600122276, 0.08706463600122276, 0.08646590755056303, 0.08646590755056303, 0.0858633895151083, 0.0858633895151083, 0.0858633895151083, 0.08638446249402129, 0.08638446249402129, 0.08638446249402129, 0.08638446249402129, 0.08690128666298177, 0.08690128666298177, 0.08690128666298177, 0.08629147551703516, 0.08629147551703516, 0.08629147551703516, 0.0868022579611663, 0.0868022579611663, 0.08730872571615254, 0.08742163107491066, 0.0890184797928778, 0.13555227289490743, 0.1348173908364248
