s0914007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOSER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conquer the continents of EUROPE and SOUTH AMERICA and a third continent of your choice., Turn 1, Turn 2, Turn 3, Turn 4, Turn 5, Turn 6, Turn 7, Turn 8, Turn 9, Turn 10, Turn 11, Turn 12, Turn 13, Turn 14, Turn 15, Turn 16, Turn 17, Turn 18, Turn 19, Turn 20, Turn 21, Turn 22, Turn 23, Turn 24, Turn 25, Turn 26, Turn 27, Turn 28, Turn 29, Turn 30, Turn 31, Turn 32, Turn 33, Turn 34, Turn 35, Turn 36, Turn 37, Turn 38, Turn 39, Turn 40, Turn 41, Turn 42, Turn 43, Turn 44, Turn 45, Turn 46, Turn 47, Turn 48, Turn 49, Turn 50, Turn 51, Turn 52, Turn 53, Turn 54, Turn 55, Turn 56, Turn 57, Turn 58, Turn 59, Turn 60, Turn 61, Turn 62, Turn 63, Turn 64, Turn 65, Turn 66, Turn 67, Turn 68, Turn 69, Turn 70, Turn 71, Turn 72, Turn 73, Turn 74, Turn 75, Turn 76, Turn 77, Turn 78, Turn 79, Turn 80, Turn 81, Turn 82, Turn 83, Turn 84, Turn 85, Turn 86, Turn 87, Turn 88, Turn 89, Turn 90, Turn 91, Turn 92, Turn 93, Turn 94, Turn 95, Turn 96
Occupy-Europe-South-America-Asia,0.083333333,0.083333333,0.083333333,0.083892617,0.083892617,0.083892617,0.083892617,0.083892617,0.083892617,0.084448046,0.084448046,0.084448046,0.084448046,0.084448046,0.084448046,0.08499955,0.08499955,0.08499955,0.08499955,0.08499955,0.08499955,0.085547056,0.085547056,0.085547056,0.085547056,0.085547056,0.085547056,0.0860905,0.0860905,0.0860905,0.0860905,0.0860905,0.0860905,0.086629815,0.086629815,0.086629815,0.086629815,0.086629815,0.086629815,0.08716494,0.08716494,0.08716494,0.08716494,0.08716494,0.08716494,0.087695816,0.087695816,0.087695816,0.087695816,0.087695816,0.087695816,0.088222385,0.088222385,0.088222385,0.088222385,0.088222385,0.088222385,0.088744595,0.088744595,0.088744595,0.088744595,0.088744595,0.088744595,0.089262394,0.089262394,0.089262394,0.089262394,0.089262394,0.089262394,0.089775732,0.089775732,0.089775732,0.089775732,0.089775732,0.089775732,0.090284565,0.090284565,0.090284565,0.090865067,0.090865067,0.087169493,0.088915381,0.088915381,0.087976039,0.087976039,0.087976039,0.087976039,0.086707321,0.086707321,0.086522435,0.086914534,0.086914534,0.086914534,0.084049473,0.084049473,0.083758239
Occupy-North-America-Africa,0.083333333,0.083333333,0.083333333,0.082214766,0.082214766,0.082214766,0.082214766,0.082214766,0.082214766,0.081103907,0.081103907,0.081103907,0.081103907,0.081103907,0.081103907,0.080000901,0.080000901,0.080000901,0.080000901,0.080000901,0.080000901,0.078905887,0.078905887,0.078905887,0.078905887,0.078905887,0.078905887,0.077819001,0.077819001,0.077819001,0.077819001,0.077819001,0.077819001,0.07674037,0.07674037,0.07674037,0.07674037,0.07674037,0.07674037,0.07567012,0.07567012,0.07567012,0.07567012,0.07567012,0.07567012,0.074608369,0.074608369,0.074608369,0.074608369,0.074608369,0.074608369,0.073555229,0.073555229,0.073555229,0.073555229,0.073555229,0.073555229,0.07251081,0.07251081,0.07251081,0.07251081,0.07251081,0.07251081,0.071475212,0.071475212,0.071475212,0.071475212,0.071475212,0.071475212,0.070448535,0.070448535,0.070448535,0.070448535,0.070448535,0.070448535,0.06943087,0.06943087,0.06943087,0.068479744,0.068479744,0.069799361,0.031283616,0.031283616,0.033571742,0.033571742,0.033571742,0.033571742,0.025487431,0.025487431,0.025952126,0.025548341,0.025548341,0.025548341,0.020210331,0.020210331,0.020970742
bob,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOSER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conquer the continents of ASIA and AFRICA., Turn 1, Turn 2, Turn 3, Turn 4, Turn 5, Turn 6, Turn 7, Turn 8, Turn 9, Turn 10, Turn 11, Turn 12, Turn 13, Turn 14, Turn 15, Turn 16, Turn 17, Turn 18, Turn 19, Turn 20, Turn 21, Turn 22, Turn 23, Turn 24, Turn 25, Turn 26, Turn 27, Turn 28, Turn 29, Turn 30, Turn 31, Turn 32, Turn 33, Turn 34, Turn 35, Turn 36, Turn 37, Turn 38, Turn 39, Turn 40, Turn 41, Turn 42, Turn 43, Turn 44, Turn 45, Turn 46, Turn 47, Turn 48, Turn 49, Turn 50, Turn 51, Turn 52, Turn 53, Turn 54, Turn 55, Turn 56, Turn 57, Turn 58, Turn 59, Turn 60, Turn 61, Turn 62, Turn 63, Turn 64, Turn 65, Turn 66, Turn 67, Turn 68, Turn 69, Turn 70, Turn 71, Turn 72, Turn 73, Turn 74, Turn 75, Turn 76, Turn 77, Turn 78, Turn 79, Turn 80, Turn 81, Turn 82, Turn 83, Turn 84, Turn 85, Turn 86, Turn 87, Turn 88, Turn 89, Turn 90, Turn 91, Turn 92, Turn 93, Turn 94, Turn 95, Turn 96
Occupy-Europe-Australia-Asia,0.083333333,0.083333333,0.083333333,0.083333333,0.084459458,0.084459458,0.084459458,0.084459458,0.084459458,0.084459458,0.085592986,0.085592986,0.085592986,0.085592986,0.085592986,0.085592986,0.086733756,0.086733756,0.086733756,0.086733756,0.086733756,0.086733756,0.087881603,0.087881603,0.087881603,0.087881603,0.087881603,0.087881603,0.089036356,0.089036356,0.089036356,0.089036356,0.089036356,0.089036356,0.090197841,0.090197841,0.090197841,0.090197841,0.090197841,0.090197841,0.091365877,0.091365877,0.091365877,0.091365877,0.091365877,0.091365877,0.09254028,0.09254028,0.09254028,0.09254028,0.09254028,0.09254028,0.093720859,0.093720859,0.093720859,0.093720859,0.093720859,0.093720859,0.094907422,0.094907422,0.094907422,0.094907422,0.094907422,0.094907422,0.09609977,0.09609977,0.09609977,0.09609977,0.09609977,0.09609977,0.0972977,0.0972977,0.0972977,0.0972977,0.0972977,0.0972977,0.098501005,0.098501005,0.099697243,0.099697243,0.099817426,0.099817426,0.127153237,0.127153237,0.127153237,0.127153237,0.124899823,0.124899823,0.131825852,0.131825852,0.131825852,0.127453857,0.126330405,0.126330405,0.137299233,0.137299233
Occupy-Europe-South-America-North-America,0.083333333,0.083333333,0.083333333,0.083333333,0.082770271,0.082770271,0.082770271,0.082770271,0.082770271,0.082770271,0.082203507,0.082203507,0.082203507,0.082203507,0.082203507,0.082203507,0.081633122,0.081633122,0.081633122,0.081633122,0.081633122,0.081633122,0.081059199,0.081059199,0.081059199,0.081059199,0.081059199,0.081059199,0.080481822,0.080481822,0.080481822,0.080481822,0.080481822,0.080481822,0.07990108,0.07990108,0.07990108,0.07990108,0.07990108,0.07990108,0.079317061,0.079317061,0.079317061,0.079317061,0.079317061,0.079317061,0.07872986,0.07872986,0.07872986,0.07872986,0.07872986,0.07872986,0.07813957,0.07813957,0.07813957,0.07813957,0.07813957,0.07813957,0.077546289,0.077546289,0.077546289,0.077546289,0.077546289,0.077546289,0.076950115,0.076950115,0.076950115,0.076950115,0.076950115,0.076950115,0.07635115,0.07635115,0.07635115,0.07635115,0.07635115,0.07635115,0.075749497,0.075749497,0.073633325,0.073633325,0.073751589,0.073751589,0.049212654,0.049212654,0.049212654,0.049212654,0.050333719,0.050333719,0.044748439,0.044748439,0.044748439,0.046905735,0.047460086,0.047460086,0.039722519,0.039722519
Occupy-Europe-South-America-Africa,0.083333333,0.083333333,0.083333333,0.083333333,0.082770271,0.082770271,0.082770271,0.082770271,0.082770271,0.082770271,0.082203507,0.082203507,0.082203507,0.082203507,0.082203507,0.082203507,0.081633122,0.081633122,0.081633122,0.081633122,0.081633122,0.081633122,0.081059199,0.081059199,0.081059199,0.081059199,0.081059199,0.081059199,0.080481822,0.080481822,0.080481822,0.080481822,0.080481822,0.080481822,0.07990108,0.07990108,0.07990108,0.07990108,0.07990108,0.07990108,0.079317061,0.079317061,0.079317061,0.079317061,0.079317061,0.079317061,0.07872986,0.07872986,0.07872986,0.07872986,0.07872986,0.07872986,0.07813957,0.07813957,0.07813957,0.07813957,0.07813957,0.07813957,0.077546289,0.077546289,0.077546289,0.077546289,0.077546289,0.077546289,0.076950115,0.076950115,0.076950115,0.076950115,0.076950115,0.076950115,0.07635115,0.07635115,0.07635115,0.07635115,0.07635115,0.07635115,0.075749497,0.075749497,0.076669432,0.076669432,0.076792572,0.076792572,0.059198203,0.059198203,0.059198203,0.059198203,0.060546738,0.060546738,0.055510301,0.055510301,0.055510301,0.05818642,0.058874091,0.058874091,0.052883361,0.052883361
Occupy-Asia-Africa,0.083333333,0.083333333,0.083333333,0.083333333,0.084459458,0.084459458,0.084459458,0.084459458,0.084459458,0.084459458,0.085592986,0.085592986,0.085592986,0.085592986,0.085592986,0.085592986,0.086733756,0.086733756,0.086733756,0.086733756,0.086733756,0.086733756,0.087881603,0.087881603,0.087881603,0.087881603,0.087881603,0.087881603,0.089036356,0.089036356,0.089036356,0.089036356,0.089036356,0.089036356,0.090197841,0.090197841,0.090197841,0.090197841,0.090197841,0.090197841,0.091365877,0.091365877,0.091365877,0.091365877,0.091365877,0.091365877,0.09254028,0.09254028,0.09254028,0.09254028,0.09254028,0.09254028,0.093720859,0.093720859,0.093720859,0.093720859,0.093720859,0.093720859,0.094907422,0.094907422,0.094907422,0.094907422,0.094907422,0.094907422,0.09609977,0.09609977,0.09609977,0.09609977,0.09609977,0.09609977,0.0972977,0.0972977,0.0972977,0.0972977,0.0972977,0.0972977,0.098501005,0.098501005,0.099697243,0.099697243,0.101854514,0.101854514,0.151497699,0.151497699,0.151497699,0.151497699,0.148812851,0.148812851,0.161730216,0.161730216,0.161730216,0.156366445,0.154988141,0.154988141,0.173448543,0.173448543
Occupy-Europe-South-America-Australia,0.083333333,0.083333333,0.083333333,0.083333333,0.082770271,0.082770271,0.082770271,0.082770271,0.082770271,0.082770271,0.082203507,0.082203507,0.082203507,0.082203507,0.082203507,0.082203507,0.081633122,0.081633122,0.081633122,0.081633122,0.081633122,0.081633122,0.081059199,0.081059199,0.081059199,0.081059199,0.081059199,0.081059199,0.080481822,0.080481822,0.080481822,0.080481822,0.080481822,0.080481822,0.07990108,0.07990108,0.07990108,0.07990108,0.07990108,0.07990108,0.079317061,0.079317061,0.079317061,0.079317061,0.079317061,0.079317061,0.07872986,0.07872986,0.07872986,0.07872986,0.07872986,0.07872986,0.07813957,0.07813957,0.07813957,0.07813957,0.07813957,0.07813957,0.077546289,0.077546289,0.077546289,0.077546289,0.077546289,0.077546289,0.076950115,0.076950115,0.076950115,0.076950115,0.076950115,0.076950115,0.07635115,0.07635115,0.07635115,0.07635115,0.07635115,0.07635115,0.075749497,0.075749497,0.076669432,0.076669432,0.075256722,0.075256722,0.056830276,0.056830276,0.056830276,0.056830276,0.05812487,0.05812487,0.05328989,0.05328989,0.05328989,0.055858964,0.056519128,0.056519128,0.049255141,0.049255141
