s0914007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conquer the continents of NORTH AMERICA and AFRICA.,Turn 1,Turn 2,Turn 3,Turn 4,Turn 5,Turn 6,Turn 7,Turn 8,Turn 9,Turn 10,Turn 11,Turn 12,Turn 13,Turn 14,Turn 15,Turn 16,Turn 17,Turn 18,Turn 19,Turn 20,Turn 21,Turn 22,Turn 23,Turn 24,Turn 25,Turn 26,Turn 27,Turn 28,Turn 29,Turn 30,Turn 31,Turn 32,Turn 33,Turn 34,Turn 35,Turn 36,Turn 37,Turn 38,Turn 39,Turn 40,Turn 41,Turn 42,Turn 43,Turn 44,Turn 45,Turn 46,Turn 47,Turn 48,Turn 49,Turn 50,Turn 51,Turn 52,Turn 53,Turn 54,Turn 55,Turn 56,Turn 57,Turn 58,Turn 59,Turn 60,Turn 61,Turn 62,Turn 63,Turn 64,Turn 65,Turn 66,Turn 67,Turn 68,Turn 69,Turn 70,Turn 71,Turn 72,Turn 73,Turn 74,Turn 75,Turn 76,Turn 77,Turn 78,Turn 79,Turn 80,Turn 81,Turn 82,Turn 83,Turn 84,Turn 85,Turn 86,Turn 87,Turn 88,Turn 89,Turn 90,Turn 91,Turn 92,Turn 93,Turn 94,Turn 95,Turn 96,Turn 97,Turn 98,Turn 99
Occupy-Europe-South-America-Asia,0.083333333,0.083333333,0.083333333,0.083333333,0.083333333,0.082770271,0.082770271,0.082770271,0.082770271,0.082770271,0.082770271,0.082203507,0.082203507,0.082203507,0.082203507,0.082203507,0.082203507,0.081633122,0.081633122,0.081633122,0.081633122,0.081633122,0.081633122,0.081059199,0.081059199,0.081059199,0.081059199,0.081059199,0.081059199,0.080481822,0.080481822,0.080481822,0.080481822,0.080481822,0.080481822,0.079942647,0.079942647,0.079942647,0.079942647,0.079942647,0.079942647,0.079399865,0.079399865,0.079399865,0.079399865,0.079399865,0.079399865,0.078853551,0.078853551,0.078853551,0.078853551,0.078853551,0.078853551,0.078287341,0.078287341,0.078287341,0.078287341,0.078287341,0.078287341,0.077742455,0.077742455,0.077742455,0.077742455,0.077742455,0.077742455,0.077177906,0.077177906,0.077177906,0.077177906,0.077177906,0.077177906,0.076610225,0.076610225,0.076610225,0.076610225,0.076610225,0.076610225,0.076039504,0.074379465,0.074379465,0.073342112,0.073537667,0.072973358,0.038285804,0.038637352,0.038637352,0.038637352,0.039071594,0.039071594,0.036434817,0.03608011,0.03608011,0.03608011,0.03608011,0.03608011,0.030201796,0.030208391,0.030208391,0.030208391
Occupy-North-America-Africa,0.083333333,0.083333333,0.083333333,0.083333333,0.083333333,0.084459458,0.084459458,0.084459458,0.084459458,0.084459458,0.084459458,0.085592986,0.085592986,0.085592986,0.085592986,0.085592986,0.085592986,0.086733756,0.086733756,0.086733756,0.086733756,0.086733756,0.086733756,0.087881603,0.087881603,0.087881603,0.087881603,0.087881603,0.087881603,0.089036356,0.089036356,0.089036356,0.089036356,0.089036356,0.089036356,0.090244765,0.090244765,0.090244765,0.090244765,0.090244765,0.090244765,0.091461259,0.091461259,0.091461259,0.091461259,0.091461259,0.091461259,0.092685668,0.092685668,0.092685668,0.092685668,0.092685668,0.092685668,0.093898096,0.093898096,0.093898096,0.093898096,0.093898096,0.093898096,0.095147506,0.095147506,0.095147506,0.095147506,0.095147506,0.095147506,0.096384248,0.096384248,0.096384248,0.096384248,0.096384248,0.096384248,0.097627851,0.097627851,0.097627851,0.097627851,0.097627851,0.097627851,0.098878116,0.102680553,0.102680553,0.103314785,0.105704343,0.106991057,0.219673653,0.217256929,0.217256929,0.217256929,0.215218568,0.215218568,0.231042111,0.233368677,0.233368677,0.233368677,0.233368677,0.233368677,0.263982639,0.263934668,0.263934668,0.263934668
bob,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conquer the continents of NORTH AMERICA and AUSTRALIA.,Turn 1,Turn 2,Turn 3,Turn 4,Turn 5,Turn 6,Turn 7,Turn 8,Turn 9,Turn 10,Turn 11,Turn 12,Turn 13,Turn 14,Turn 15,Turn 16,Turn 17,Turn 18,Turn 19,Turn 20,Turn 21,Turn 22,Turn 23,Turn 24,Turn 25,Turn 26,Turn 27,Turn 28,Turn 29,Turn 30,Turn 31,Turn 32,Turn 33,Turn 34,Turn 35,Turn 36,Turn 37,Turn 38,Turn 39,Turn 40,Turn 41,Turn 42,Turn 43,Turn 44,Turn 45,Turn 46,Turn 47,Turn 48,Turn 49,Turn 50,Turn 51,Turn 52,Turn 53,Turn 54,Turn 55,Turn 56,Turn 57,Turn 58,Turn 59,Turn 60,Turn 61,Turn 62,Turn 63,Turn 64,Turn 65,Turn 66,Turn 67,Turn 68,Turn 69,Turn 70,Turn 71,Turn 72,Turn 73,Turn 74,Turn 75,Turn 76,Turn 77,Turn 78,Turn 79,Turn 80,Turn 81,Turn 82,Turn 83,Turn 84,Turn 85,Turn 86,Turn 87,Turn 88,Turn 89,Turn 90,Turn 91,Turn 92,Turn 93,Turn 94,Turn 95,Turn 96,Turn 97,Turn 98,Turn 99
Occupy-Europe-Australia-Asia,0.083333333,0.082770271,0.082770271,0.082770271,0.082770271,0.082770271,0.083327665,0.083327665,0.083327665,0.083327665,0.083327665,0.083327665,0.082758973,0.082758973,0.082758973,0.082758973,0.082758973,0.082758973,0.083310661,0.083310661,0.083310661,0.083310661,0.083310661,0.083310661,0.083858499,0.083858499,0.083858499,0.083858499,0.083858499,0.083858499,0.084402416,0.084402416,0.084402416,0.084402416,0.084402416,0.084402416,0.084942343,0.084942343,0.084942343,0.084942343,0.084942343,0.084942343,0.086101941,0.086101941,0.086101941,0.086101941,0.086101941,0.086101941,0.086647052,0.086647052,0.086647052,0.086647052,0.086647052,0.086647052,0.087187998,0.087187998,0.087187998,0.087187998,0.087187998,0.087187998,0.087724719,0.087724719,0.087724719,0.087724719,0.087724719,0.087724719,0.088257156,0.088257156,0.088257156,0.088257156,0.088257156,0.088257156,0.089461817,0.089461817,0.089461817,0.089461817,0.089461817,0.089461817,0.01573943,0.015381103,0.014797596,0.014702878,0.015686882,0.015807909,0.015794427,0.015794427,0.015197357,0.015091676,0.015091676,0.015091676,0.013373991,0.013373991,0.013373991,0.013373991,0.013373991,0.013378481,0.012495981,0.012495981,0.012495981
Occupy-Europe-South-America-North-America,0.083333333,0.082770271,0.082770271,0.082770271,0.082770271,0.082770271,0.083327665,0.083327665,0.083327665,0.083327665,0.083327665,0.083327665,0.082758973,0.082758973,0.082758973,0.082758973,0.082758973,0.082758973,0.083310661,0.083310661,0.083310661,0.083310661,0.083310661,0.083310661,0.083858499,0.083858499,0.083858499,0.083858499,0.083858499,0.083858499,0.084402416,0.084402416,0.084402416,0.084402416,0.084402416,0.084402416,0.084942343,0.084942343,0.084942343,0.084942343,0.084942343,0.084942343,0.084379904,0.084379904,0.084379904,0.084379904,0.084379904,0.084379904,0.084914112,0.084914112,0.084914112,0.084914112,0.084914112,0.084914112,0.08544424,0.08544424,0.08544424,0.08544424,0.08544424,0.08544424,0.085970226,0.085970226,0.085970226,0.085970226,0.085970226,0.085970226,0.086492014,0.086492014,0.086492014,0.086492014,0.086492014,0.086492014,0.085919133,0.085919133,0.085919133,0.085919133,0.085919133,0.085919133,0.238129446,0.237457296,0.237868548,0.236345969,0.232587743,0.234382201,0.229814943,0.229814943,0.230245041,0.22864393,0.22864393,0.22864393,0.233259402,0.233259402,0.233259402,0.233259402,0.233259402,0.233244389,0.23619484,0.23619484,0.23619484
Occupy-Asia-Africa,0.083333333,0.084459458,0.084459458,0.084459458,0.084459458,0.084459458,0.083327665,0.083327665,0.083327665,0.083327665,0.083327665,0.083327665,0.08444793,0.08444793,0.08444793,0.08444793,0.08444793,0.08444793,0.083310661,0.083310661,0.083310661,0.083310661,0.083310661,0.083310661,0.082181331,0.082181331,0.082181331,0.082181331,0.082181331,0.082181331,0.081060083,0.081060083,0.081060083,0.081060083,0.081060083,0.081060083,0.079947059,0.079947059,0.079947059,0.079947059,0.079947059,0.079947059,0.081038463,0.081038463,0.081038463,0.081038463,0.081038463,0.081038463,0.079920488,0.079920488,0.079920488,0.079920488,0.079920488,0.079920488,0.078811052,0.078811052,0.078811052,0.078811052,0.078811052,0.078811052,0.077710283,0.077710283,0.077710283,0.077710283,0.077710283,0.077710283,0.076618301,0.076618301,0.076618301,0.076618301,0.076618301,0.076618301,0.077664098,0.077664098,0.077664098,0.077664098,0.077664098,0.077664098,0.006488506,0.006467603,0.006222244,0.006311112,0.006733489,0.006516736,0.007208934,0.007208934,0.006936417,0.007028757,0.007028757,0.007028757,0.006228767,0.006228767,0.006228767,0.006228767,0.006228767,0.006230858,0.005819845,0.005819845,0.005819845
Occupy-Europe-South-America-Africa,0.083333333,0.084459458,0.084459458,0.084459458,0.084459458,0.084459458,0.085028228,0.085028228,0.085028228,0.085028228,0.085028228,0.085028228,0.086171356,0.086171356,0.086171356,0.086171356,0.086171356,0.086171356,0.086745792,0.086745792,0.086745792,0.086745792,0.086745792,0.086745792,0.087316218,0.087316218,0.087316218,0.087316218,0.087316218,0.087316218,0.087882562,0.087882562,0.087882562,0.087882562,0.087882562,0.087882562,0.088444752,0.088444752,0.088444752,0.088444752,0.088444752,0.088444752,0.087859122,0.087859122,0.087859122,0.087859122,0.087859122,0.087859122,0.088415357,0.088415357,0.088415357,0.088415357,0.088415357,0.088415357,0.088967343,0.088967343,0.088967343,0.088967343,0.088967343,0.088967343,0.089515018,0.089515018,0.089515018,0.089515018,0.089515018,0.089515018,0.09005832,0.09005832,0.09005832,0.09005832,0.09005832,0.09005832,0.089461817,0.089461817,0.089461817,0.089461817,0.089461817,0.089461817,0.027563091,0.028034996,0.02808355,0.027903789,0.029771277,0.028812931,0.023341606,0.023341606,0.02338529,0.02322267,0.02322267,0.02322267,0.021211648,0.021211648,0.021211648,0.021211648,0.021211648,0.021218771,0.019819092,0.019819092,0.019819092
Occupy-Europe-Australia-South-America,0.083333333,0.082770271,0.082770271,0.082770271,0.082770271,0.082770271,0.083327665,0.083327665,0.083327665,0.083327665,0.083327665,0.083327665,0.082758973,0.082758973,0.082758973,0.082758973,0.082758973,0.082758973,0.083310661,0.083310661,0.083310661,0.083310661,0.083310661,0.083310661,0.083858499,0.083858499,0.083858499,0.083858499,0.083858499,0.083858499,0.084402416,0.084402416,0.084402416,0.084402416,0.084402416,0.084402416,0.084942343,0.084942343,0.084942343,0.084942343,0.084942343,0.084942343,0.084379904,0.084379904,0.084379904,0.084379904,0.084379904,0.084379904,0.084914112,0.084914112,0.084914112,0.084914112,0.084914112,0.084914112,0.08544424,0.08544424,0.08544424,0.08544424,0.08544424,0.08544424,0.085970226,0.085970226,0.085970226,0.085970226,0.085970226,0.085970226,0.086492014,0.086492014,0.086492014,0.086492014,0.086492014,0.086492014,0.085919133,0.085919133,0.085919133,0.085919133,0.085919133,0.085919133,0.044593731,0.04446786,0.044544874,0.044259745,0.047221872,0.047586198,0.040663509,0.040663509,0.04073961,0.040456309,0.040456309,0.040456309,0.036952901,0.036952901,0.036952901,0.036952901,0.036952901,0.036965308,0.034526923,0.034526923,0.034526923
Occupy-Europe-South-America-Australia,0.083333333,0.082770271,0.082770271,0.082770271,0.082770271,0.082770271,0.083327665,0.083327665,0.083327665,0.083327665,0.083327665,0.083327665,0.082758973,0.082758973,0.082758973,0.082758973,0.082758973,0.082758973,0.083310661,0.083310661,0.083310661,0.083310661,0.083310661,0.083310661,0.083858499,0.083858499,0.083858499,0.083858499,0.083858499,0.083858499,0.084402416,0.084402416,0.084402416,0.084402416,0.084402416,0.084402416,0.084942343,0.084942343,0.084942343,0.084942343,0.084942343,0.084942343,0.084379904,0.084379904,0.084379904,0.084379904,0.084379904,0.084379904,0.084914112,0.084914112,0.084914112,0.084914112,0.084914112,0.084914112,0.08544424,0.08544424,0.08544424,0.08544424,0.08544424,0.08544424,0.085970226,0.085970226,0.085970226,0.085970226,0.085970226,0.085970226,0.086492014,0.086492014,0.086492014,0.086492014,0.086492014,0.086492014,0.085919133,0.085919133,0.085919133,0.085919133,0.085919133,0.085919133,0.044593731,0.04446786,0.044544874,0.044259745,0.047221872,0.047586198,0.040663509,0.040663509,0.04073961,0.040456309,0.040456309,0.040456309,0.036952901,0.036952901,0.036952901,0.036952901,0.036952901,0.036965308,0.034526923,0.034526923,0.034526923
