s0914007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOSER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conquer the continents of EUROPE and SOUTH AMERICA and a third continent of your choice., Turn 1, Turn 2, Turn 3, Turn 4, Turn 5, Turn 6, Turn 7, Turn 8, Turn 9, Turn 10, Turn 11, Turn 12, Turn 13, Turn 14, Turn 15, Turn 16, Turn 17, Turn 18, Turn 19, Turn 20, Turn 21, Turn 22, Turn 23, Turn 24, Turn 25, Turn 26, Turn 27, Turn 28, Turn 29, Turn 30, Turn 31, Turn 32, Turn 33, Turn 34, Turn 35, Turn 36, Turn 37, Turn 38, Turn 39, Turn 40, Turn 41, Turn 42, Turn 43, Turn 44, Turn 45, Turn 46, Turn 47, Turn 48, Turn 49, Turn 50, Turn 51, Turn 52, Turn 53, Turn 54, Turn 55, Turn 56, Turn 57, Turn 58, Turn 59, Turn 60, Turn 61, Turn 62, Turn 63, Turn 64, Turn 65, Turn 66, Turn 67, Turn 68, Turn 69, Turn 70, Turn 71, Turn 72, Turn 73, Turn 74, Turn 75, Turn 76, Turn 77, Turn 78, Turn 79, Turn 80, Turn 81, Turn 82, Turn 83, Turn 84, Turn 85
Occupy-Europe-South-America-Australia,0.082770271,0.082770271,0.082770271,0.082770271,0.082203507,0.082203507,0.082203507,0.082203507,0.082203507,0.081633122,0.081633122,0.081633122,0.082186622,0.082186622,0.082186622,0.082186622,0.082736382,0.082736382,0.082736382,0.082736382,0.08328233,0.08328233,0.08328233,0.08328233,0.083824395,0.083824395,0.083824395,0.083824395,0.083242683,0.083242683,0.083242683,0.083242683,0.082657363,0.082657363,0.082657363,0.082657363,0.083191736,0.083191736,0.083191736,0.083191736,0.083722167,0.083722167,0.083722167,0.083722167,0.084248593,0.084248593,0.084248593,0.084248593,0.083654084,0.083654084,0.083654084,0.083654084,0.08417463,0.08417463,0.08417463,0.08417463,0.083574723,0.083574723,0.083574723,0.083574723,0.084089368,0.084089368,0.084089368,0.084089368,0.084599907,0.084599907,0.084599907,0.084599907,0.084599907,0.083992841,0.083992841,0.083992841,0.084497443,0.084497443,0.084497443,0.084497443,0.083885089,0.083885089,0.083885089,0.083885089,0.059848207,0.06149133,0.06149133,0.06149133,0.046593635
Occupy-North-America-Australia,0.084459458,0.084459458,0.084459458,0.084459458,0.085592986,0.085592986,0.085592986,0.085592986,0.085592986,0.086733756,0.086733756,0.086733756,0.085575405,0.085575405,0.085575405,0.085575405,0.084424878,0.084424878,0.084424878,0.084424878,0.08328233,0.08328233,0.08328233,0.08328233,0.082147909,0.082147909,0.082147909,0.082147909,0.083242683,0.083242683,0.083242683,0.083242683,0.084344246,0.084344246,0.084344246,0.084344246,0.083191736,0.083191736,0.083191736,0.083191736,0.082047725,0.082047725,0.082047725,0.082047725,0.080912352,0.080912352,0.080912352,0.080912352,0.081981003,0.081981003,0.081981003,0.081981003,0.080841318,0.080841318,0.080841318,0.080841318,0.08190323,0.08190323,0.08190323,0.08190323,0.080759432,0.080759432,0.080759432,0.080759432,0.07962476,0.07962476,0.07962476,0.07962476,0.07962476,0.080666728,0.080666728,0.080666728,0.079528322,0.079528322,0.079528322,0.079528322,0.080563243,0.080563243,0.080563243,0.080563243,0.03328351,0.032843092,0.032843092,0.032843092,0.012506715
Occupy-Europe-Australia-North-America,0.084459458,0.084459458,0.084459458,0.084459458,0.085592986,0.085592986,0.085592986,0.085592986,0.085592986,0.086733756,0.086733756,0.086733756,0.08732184,0.08732184,0.08732184,0.08732184,0.087905951,0.087905951,0.087905951,0.087905951,0.088486011,0.088486011,0.088486011,0.088486011,0.089061945,0.089061945,0.089061945,0.089061945,0.090248862,0.090248862,0.090248862,0.090248862,0.091443139,0.091443139,0.091443139,0.091443139,0.092034311,0.092034311,0.092034311,0.092034311,0.092621122,0.092621122,0.092621122,0.092621122,0.093203503,0.093203503,0.093203503,0.093203503,0.09443449,0.09443449,0.09443449,0.09443449,0.095022119,0.095022119,0.095022119,0.095022119,0.096270307,0.096270307,0.096270307,0.096270307,0.09686313,0.09686313,0.09686313,0.09686313,0.097451223,0.097451223,0.097451223,0.097451223,0.097451223,0.098726468,0.098726468,0.098726468,0.099319584,0.099319584,0.099319584,0.099319584,0.100612054,0.100612054,0.100612054,0.100612054,0.02943469,0.029045201,0.029045201,0.029045201,0.00721537
Occupy-Europe-Australia-Africa,0.082770271,0.082770271,0.082770271,0.082770271,0.082203507,0.082203507,0.082203507,0.082203507,0.082203507,0.081633122,0.081633122,0.081633122,0.082186622,0.082186622,0.082186622,0.082186622,0.082736382,0.082736382,0.082736382,0.082736382,0.08328233,0.08328233,0.08328233,0.08328233,0.083824395,0.083824395,0.083824395,0.083824395,0.083242683,0.083242683,0.083242683,0.083242683,0.082657363,0.082657363,0.082657363,0.082657363,0.083191736,0.083191736,0.083191736,0.083191736,0.083722167,0.083722167,0.083722167,0.083722167,0.084248593,0.084248593,0.084248593,0.084248593,0.083654084,0.083654084,0.083654084,0.083654084,0.08417463,0.08417463,0.08417463,0.08417463,0.083574723,0.083574723,0.083574723,0.083574723,0.084089368,0.084089368,0.084089368,0.084089368,0.084599907,0.084599907,0.084599907,0.084599907,0.084599907,0.083992841,0.083992841,0.083992841,0.084497443,0.084497443,0.084497443,0.084497443,0.083885089,0.083885089,0.083885089,0.083885089,0.033414696,0.032972542,0.032972542,0.032972542,0.009473085
Occupy-Asia-South-America,0.082770271,0.082770271,0.082770271,0.082770271,0.082203507,0.082203507,0.082203507,0.082203507,0.082203507,0.081633122,0.081633122,0.081633122,0.080542891,0.080542891,0.080542891,0.080542891,0.079460025,0.079460025,0.079460025,0.079460025,0.078384668,0.078384668,0.078384668,0.078384668,0.077316959,0.077316959,0.077316959,0.077316959,0.076780406,0.076780406,0.076780406,0.076780406,0.076240526,0.076240526,0.076240526,0.076240526,0.075198747,0.075198747,0.075198747,0.075198747,0.074164652,0.074164652,0.074164652,0.074164652,0.073138365,0.073138365,0.073138365,0.073138365,0.072622256,0.072622256,0.072622256,0.072622256,0.071612674,0.071612674,0.071612674,0.071612674,0.071102295,0.071102295,0.071102295,0.071102295,0.070109335,0.070109335,0.070109335,0.070109335,0.069124297,0.069124297,0.069124297,0.069124297,0.069124297,0.06862828,0.06862828,0.06862828,0.067659766,0.067659766,0.067659766,0.067659766,0.067169435,0.067169435,0.067169435,0.067169435,0.207444973,0.20887754,0.20887754,0.20887754,0.381473423
Occupy-Europe-South-America-Asia,0.082770271,0.082770271,0.082770271,0.082770271,0.082203507,0.082203507,0.082203507,0.082203507,0.082203507,0.081633122,0.081633122,0.081633122,0.082186622,0.082186622,0.082186622,0.082186622,0.082736382,0.082736382,0.082736382,0.082736382,0.08328233,0.08328233,0.08328233,0.08328233,0.083824395,0.083824395,0.083824395,0.083824395,0.083242683,0.083242683,0.083242683,0.083242683,0.082657363,0.082657363,0.082657363,0.082657363,0.083191736,0.083191736,0.083191736,0.083191736,0.083722167,0.083722167,0.083722167,0.083722167,0.084248593,0.084248593,0.084248593,0.084248593,0.083654084,0.083654084,0.083654084,0.083654084,0.08417463,0.08417463,0.08417463,0.08417463,0.083574723,0.083574723,0.083574723,0.083574723,0.084089368,0.084089368,0.084089368,0.084089368,0.084599907,0.084599907,0.084599907,0.084599907,0.084599907,0.083992841,0.083992841,0.083992841,0.084497443,0.084497443,0.084497443,0.084497443,0.083885089,0.083885089,0.083885089,0.083885089,0.205248708,0.206666108,0.206666108,0.206666108,0.267740566
Occupy-North-America-Africa,0.084459458,0.084459458,0.084459458,0.084459458,0.085592986,0.085592986,0.085592986,0.085592986,0.085592986,0.086733756,0.086733756,0.086733756,0.085575405,0.085575405,0.085575405,0.085575405,0.084424878,0.084424878,0.084424878,0.084424878,0.08328233,0.08328233,0.08328233,0.08328233,0.082147909,0.082147909,0.082147909,0.082147909,0.083242683,0.083242683,0.083242683,0.083242683,0.084344246,0.084344246,0.084344246,0.084344246,0.083191736,0.083191736,0.083191736,0.083191736,0.082047725,0.082047725,0.082047725,0.082047725,0.080912352,0.080912352,0.080912352,0.080912352,0.081981003,0.081981003,0.081981003,0.081981003,0.080841318,0.080841318,0.080841318,0.080841318,0.08190323,0.08190323,0.08190323,0.08190323,0.080759432,0.080759432,0.080759432,0.080759432,0.07962476,0.07962476,0.07962476,0.07962476,0.07962476,0.080666728,0.080666728,0.080666728,0.079528322,0.079528322,0.079528322,0.079528322,0.080563243,0.080563243,0.080563243,0.080563243,0.021308454,0.020193845,0.020193845,0.020193845,0.005781751
aneesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WINNER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conquer the continents of NORTH AMERICA and AFRICA., Turn 1, Turn 2, Turn 3, Turn 4, Turn 5, Turn 6, Turn 7, Turn 8, Turn 9, Turn 10, Turn 11, Turn 12, Turn 13, Turn 14, Turn 15, Turn 16, Turn 17, Turn 18, Turn 19, Turn 20, Turn 21, Turn 22, Turn 23, Turn 24, Turn 25, Turn 26, Turn 27, Turn 28, Turn 29, Turn 30, Turn 31, Turn 32, Turn 33, Turn 34, Turn 35, Turn 36, Turn 37, Turn 38, Turn 39, Turn 40, Turn 41, Turn 42, Turn 43, Turn 44, Turn 45, Turn 46, Turn 47, Turn 48, Turn 49, Turn 50, Turn 51, Turn 52, Turn 53, Turn 54, Turn 55, Turn 56, Turn 57, Turn 58, Turn 59, Turn 60, Turn 61, Turn 62, Turn 63, Turn 64, Turn 65, Turn 66, Turn 67, Turn 68, Turn 69, Turn 70, Turn 71, Turn 72, Turn 73, Turn 74, Turn 75, Turn 76, Turn 77, Turn 78, Turn 79, Turn 80, Turn 81, Turn 82, Turn 83, Turn 84, Turn 85
Occupy-Europe-Australia-Asia,0.083333333,0.084459458,0.084459458,0.084459458,0.084459458,0.085592986,0.085592986,0.085592986,0.085592986,0.085022444,0.085022444,0.085022444,0.085022444,0.084448046,0.084448046,0.084448046,0.084448046,0.083881243,0.083881243,0.083881243,0.083881243,0.08220362,0.083310661,0.083310661,0.083310661,0.082736382,0.082736382,0.082736382,0.082736382,0.08217272,0.08217272,0.08217272,0.08217272,0.08217272,0.081605416,0.081605416,0.081605416,0.081034553,0.081034553,0.081034553,0.081034553,0.080460214,0.080460214,0.080460214,0.080460214,0.081558201,0.081558201,0.081558201,0.081558201,0.081558201,0.080993169,0.080993169,0.080993169,0.080993169,0.080424618,0.080424618,0.080424618,0.080424618,0.081516536,0.081516536,0.081516536,0.081516536,0.080940812,0.080940812,0.080940812,0.082036214,0.082036214,0.082036214,0.082036214,0.082036214,0.081455509,0.081455509,0.081455509,0.080871367,0.080871367,0.080871367,0.080871367,0.080283877,0.079437484,0.079437484,0.079437484,0.010301159,0.010297599,0.010584738,0.010220627
Occupy-Europe-South-America-North-America,0.083333333,0.082770271,0.082770271,0.082770271,0.082770271,0.082203507,0.082203507,0.082203507,0.082203507,0.083321997,0.083321997,0.083321997,0.083321997,0.084448046,0.084448046,0.084448046,0.084448046,0.083881243,0.083881243,0.083881243,0.083881243,0.083881243,0.083310661,0.083310661,0.083310661,0.082736382,0.082736382,0.082736382,0.082736382,0.083849712,0.083849712,0.083849712,0.083849712,0.083849712,0.084970234,0.084970234,0.084970234,0.086097787,0.086097787,0.086097787,0.086097787,0.087232204,0.087232204,0.087232204,0.087232204,0.086654154,0.086654154,0.086654154,0.086654154,0.086654154,0.086053817,0.086053817,0.086053817,0.086053817,0.085449742,0.085449742,0.085449742,0.085449742,0.08487769,0.08487769,0.08487769,0.08487769,0.085998189,0.085998189,0.085998189,0.085418795,0.085418795,0.085418795,0.085418795,0.085418795,0.084814146,0.084814146,0.084814146,0.084205918,0.084205918,0.084205918,0.084205918,0.083594204,0.084400929,0.084400929,0.084400929,0.050909778,0.050912549,0.052332196,0.052615565
Occupy-Asia-Africa,0.083333333,0.084459458,0.084459458,0.084459458,0.084459458,0.085592986,0.085592986,0.085592986,0.085592986,0.085022444,0.085022444,0.085022444,0.085022444,0.084448046,0.084448046,0.084448046,0.084448046,0.085593103,0.085593103,0.085593103,0.085593103,0.085593103,0.086745792,0.086745792,0.086745792,0.087905951,0.087905951,0.087905951,0.087905951,0.087307069,0.087307069,0.087307069,0.087307069,0.087307069,0.086704319,0.086704319,0.086704319,0.086097787,0.086097787,0.086097787,0.086097787,0.085487562,0.085487562,0.085487562,0.085487562,0.086654154,0.086654154,0.086654154,0.086654154,0.086654154,0.087810015,0.087810015,0.087810015,0.087810015,0.088973072,0.088973072,0.088973072,0.088973072,0.090181052,0.090181052,0.090181052,0.090181052,0.089544133,0.089544133,0.089544133,0.090755967,0.090755967,0.090755967,0.090755967,0.090755967,0.091952588,0.091952588,0.091952588,0.093156292,0.093156292,0.093156292,0.093156292,0.094366894,0.095277581,0.095277581,0.095277581,0.093001172,0.092969031,0.091777155,0.08862006
Occupy-Europe-South-America-Africa,0.083333333,0.082770271,0.082770271,0.082770271,0.082770271,0.082203507,0.082203507,0.082203507,0.082203507,0.081655559,0.081655559,0.081655559,0.081655559,0.081103907,0.081103907,0.081103907,0.081103907,0.08220362,0.08220362,0.08220362,0.08220362,0.08220362,0.083310661,0.083310661,0.083310661,0.084424878,0.084424878,0.084424878,0.084424878,0.083849712,0.083849712,0.083849712,0.083849712,0.083849712,0.083270831,0.083270831,0.083270831,0.082688318,0.082688318,0.082688318,0.082688318,0.082102258,0.082102258,0.082102258,0.082102258,0.081558201,0.081558201,0.081558201,0.081558201,0.081558201,0.082646089,0.082646089,0.082646089,0.082646089,0.083740749,0.083740749,0.083740749,0.083740749,0.083180138,0.083180138,0.083180138,0.083180138,0.082592664,0.082592664,0.082592664,0.082036214,0.082036214,0.082036214,0.082036214,0.082036214,0.083117864,0.083117864,0.083117864,0.084205918,0.084205918,0.084205918,0.084205918,0.085300207,0.086123396,0.086123396,0.086123396,0.074819901,0.074823972,0.073864719,0.074264682
Occupy-Europe-South-America-Australia,0.083333333,0.082770271,0.082770271,0.082770271,0.082770271,0.082203507,0.082203507,0.082203507,0.082203507,0.081655559,0.081655559,0.081655559,0.081655559,0.081103907,0.081103907,0.081103907,0.081103907,0.080559549,0.080559549,0.080559549,0.080559549,0.078948359,0.080011562,0.080011562,0.080011562,0.079460025,0.079460025,0.079460025,0.079460025,0.078918683,0.078918683,0.078918683,0.078918683,0.078918683,0.078373845,0.078373845,0.078373845,0.077825588,0.077825588,0.077825588,0.077825588,0.077273993,0.077273993,0.077273993,0.077273993,0.076761931,0.076761931,0.076761931,0.076761931,0.076761931,0.076230127,0.076230127,0.076230127,0.076230127,0.075695012,0.075695012,0.075695012,0.075695012,0.075188264,0.075188264,0.075188264,0.075188264,0.074657234,0.074657234,0.074657234,0.074154247,0.074154247,0.074154247,0.074154247,0.074154247,0.073629336,0.073629336,0.073629336,0.073101317,0.073101317,0.073101317,0.073101317,0.072570273,0.071805201,0.071805201,0.071805201,0.0207419,0.020743029,0.021321428,0.02143688
Occupy-Europe-Australia-South-America,0.083333333,0.082770271,0.082770271,0.082770271,0.082770271,0.082203507,0.082203507,0.082203507,0.082203507,0.081655559,0.081655559,0.081655559,0.081655559,0.081103907,0.081103907,0.081103907,0.081103907,0.080559549,0.080559549,0.080559549,0.080559549,0.078948359,0.080011562,0.080011562,0.080011562,0.079460025,0.079460025,0.079460025,0.079460025,0.078918683,0.078918683,0.078918683,0.078918683,0.078918683,0.078373845,0.078373845,0.078373845,0.077825588,0.077825588,0.077825588,0.077825588,0.077273993,0.077273993,0.077273993,0.077273993,0.076761931,0.076761931,0.076761931,0.076761931,0.076761931,0.076230127,0.076230127,0.076230127,0.076230127,0.075695012,0.075695012,0.075695012,0.075695012,0.075188264,0.075188264,0.075188264,0.075188264,0.074657234,0.074657234,0.074657234,0.074154247,0.074154247,0.074154247,0.074154247,0.074154247,0.073629336,0.073629336,0.073629336,0.073101317,0.073101317,0.073101317,0.073101317,0.072570273,0.071805201,0.071805201,0.071805201,0.0207419,0.020743029,0.021321428,0.02143688
Occupy-North-America-Australia,0.083333333,0.082770271,0.082770271,0.082770271,0.082770271,0.082203507,0.082203507,0.082203507,0.082203507,0.083321997,0.083321997,0.083321997,0.083321997,0.084448046,0.084448046,0.084448046,0.084448046,0.083881243,0.083881243,0.083881243,0.083881243,0.08220362,0.083310661,0.083310661,0.083310661,0.082736382,0.082736382,0.082736382,0.082736382,0.083849712,0.083849712,0.083849712,0.083849712,0.083849712,0.084970234,0.084970234,0.084970234,0.086097787,0.086097787,0.086097787,0.086097787,0.087232204,0.087232204,0.087232204,0.087232204,0.086654154,0.086654154,0.086654154,0.086654154,0.086654154,0.086053817,0.086053817,0.086053817,0.086053817,0.085449742,0.085449742,0.085449742,0.085449742,0.08487769,0.08487769,0.08487769,0.08487769,0.085998189,0.085998189,0.085998189,0.085418795,0.085418795,0.085418795,0.085418795,0.085418795,0.084814146,0.084814146,0.084814146,0.084205918,0.084205918,0.084205918,0.084205918,0.083594204,0.082712912,0.082712912,0.082712912,0.123556804,0.123563528,0.127008978,0.127696707
Occupy-Europe-Australia-North-America,0.083333333,0.082770271,0.082770271,0.082770271,0.082770271,0.082203507,0.082203507,0.082203507,0.082203507,0.083321997,0.083321997,0.083321997,0.083321997,0.084448046,0.084448046,0.084448046,0.084448046,0.083881243,0.083881243,0.083881243,0.083881243,0.08220362,0.083310661,0.083310661,0.083310661,0.082736382,0.082736382,0.082736382,0.082736382,0.083849712,0.083849712,0.083849712,0.083849712,0.083849712,0.084970234,0.084970234,0.084970234,0.086097787,0.086097787,0.086097787,0.086097787,0.087232204,0.087232204,0.087232204,0.087232204,0.086654154,0.086654154,0.086654154,0.086654154,0.086654154,0.086053817,0.086053817,0.086053817,0.086053817,0.085449742,0.085449742,0.085449742,0.085449742,0.08487769,0.08487769,0.08487769,0.08487769,0.085998189,0.085998189,0.085998189,0.085418795,0.085418795,0.085418795,0.085418795,0.085418795,0.084814146,0.084814146,0.084814146,0.084205918,0.084205918,0.084205918,0.084205918,0.083594204,0.082712912,0.082712912,0.082712912,0.055969109,0.055972155,0.057532884,0.057844414
Occupy-Europe-Australia-Africa,0.083333333,0.082770271,0.082770271,0.082770271,0.082770271,0.082203507,0.082203507,0.082203507,0.082203507,0.081655559,0.081655559,0.081655559,0.081655559,0.081103907,0.081103907,0.081103907,0.081103907,0.08220362,0.08220362,0.08220362,0.08220362,0.08220362,0.083310661,0.083310661,0.083310661,0.084424878,0.084424878,0.084424878,0.084424878,0.083849712,0.083849712,0.083849712,0.083849712,0.083849712,0.083270831,0.083270831,0.083270831,0.082688318,0.082688318,0.082688318,0.082688318,0.082102258,0.082102258,0.082102258,0.082102258,0.081558201,0.081558201,0.081558201,0.081558201,0.081558201,0.082646089,0.082646089,0.082646089,0.082646089,0.083740749,0.083740749,0.083740749,0.083740749,0.083180138,0.083180138,0.083180138,0.083180138,0.082592664,0.082592664,0.082592664,0.082036214,0.082036214,0.082036214,0.082036214,0.082036214,0.083117864,0.083117864,0.083117864,0.084205918,0.084205918,0.084205918,0.084205918,0.085300207,0.084400929,0.084400929,0.084400929,0.079985065,0.079989417,0.078963942,0.079391517
Occupy-Asia-South-America,0.083333333,0.084459458,0.084459458,0.084459458,0.084459458,0.085592986,0.085592986,0.085592986,0.085592986,0.085022444,0.085022444,0.085022444,0.085022444,0.084448046,0.084448046,0.084448046,0.084448046,0.083881243,0.083881243,0.083881243,0.083881243,0.08220362,0.083310661,0.083310661,0.083310661,0.082736382,0.082736382,0.082736382,0.082736382,0.08217272,0.08217272,0.08217272,0.08217272,0.08217272,0.081605416,0.081605416,0.081605416,0.081034553,0.081034553,0.081034553,0.081034553,0.080460214,0.080460214,0.080460214,0.080460214,0.081558201,0.081558201,0.081558201,0.081558201,0.081558201,0.080993169,0.080993169,0.080993169,0.080993169,0.080424618,0.080424618,0.080424618,0.080424618,0.081516536,0.081516536,0.081516536,0.081516536,0.080940812,0.080940812,0.080940812,0.082036214,0.082036214,0.082036214,0.082036214,0.082036214,0.081455509,0.081455509,0.081455509,0.080871367,0.080871367,0.080871367,0.080871367,0.080283877,0.081058656,0.081058656,0.081058656,0.023447695,0.023439592,0.024093182,0.023264387
Occupy-Europe-South-America-Asia,0.083333333,0.084459458,0.084459458,0.084459458,0.084459458,0.085592986,0.085592986,0.085592986,0.085592986,0.085022444,0.085022444,0.085022444,0.085022444,0.084448046,0.084448046,0.084448046,0.084448046,0.083881243,0.083881243,0.083881243,0.083881243,0.08220362,0.083310661,0.083310661,0.083310661,0.082736382,0.082736382,0.082736382,0.082736382,0.08217272,0.08217272,0.08217272,0.08217272,0.08217272,0.081605416,0.081605416,0.081605416,0.081034553,0.081034553,0.081034553,0.081034553,0.080460214,0.080460214,0.080460214,0.080460214,0.081558201,0.081558201,0.081558201,0.081558201,0.081558201,0.080993169,0.080993169,0.080993169,0.080993169,0.080424618,0.080424618,0.080424618,0.080424618,0.081516536,0.081516536,0.081516536,0.081516536,0.080940812,0.080940812,0.080940812,0.082036214,0.082036214,0.082036214,0.082036214,0.082036214,0.081455509,0.081455509,0.081455509,0.080871367,0.080871367,0.080871367,0.080871367,0.080283877,0.081058656,0.081058656,0.081058656,0.009290535,0.009287324,0.009546292,0.009217903
Occupy-North-America-Africa,0.083333333,0.082770271,0.082770271,0.082770271,0.082770271,0.082203507,0.082203507,0.082203507,0.082203507,0.083321997,0.083321997,0.083321997,0.083321997,0.084448046,0.084448046,0.084448046,0.084448046,0.085593103,0.085593103,0.085593103,0.085593103,0.085593103,0.086745792,0.086745792,0.086745792,0.087905951,0.087905951,0.087905951,0.087905951,0.089088844,0.089088844,0.089088844,0.089088844,0.089088844,0.090279379,0.090279379,0.090279379,0.091477384,0.091477384,0.091477384,0.091477384,0.092682682,0.092682682,0.092682682,0.092682682,0.092068514,0.092068514,0.092068514,0.092068514,0.092068514,0.093296597,0.093296597,0.093296597,0.093296597,0.094532324,0.094532324,0.094532324,0.094532324,0.093899467,0.093899467,0.093899467,0.093899467,0.095139066,0.095139066,0.095139066,0.094498087,0.094498087,0.094498087,0.094498087,0.094498087,0.095744048,0.095744048,0.095744048,0.096997385,0.096997385,0.096997385,0.096997385,0.098257904,0.099206141,0.099206141,0.099206141,0.437234981,0.437258775,0.431653058,0.433990378
punit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOSER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conquer the continents of EUROPE and AUSTRALIA and a third continent of your choice., Turn 1, Turn 2, Turn 3, Turn 4, Turn 5, Turn 6, Turn 7, Turn 8, Turn 9, Turn 10, Turn 11, Turn 12, Turn 13, Turn 14, Turn 15, Turn 16, Turn 17, Turn 18, Turn 19, Turn 20, Turn 21, Turn 22, Turn 23, Turn 24, Turn 25, Turn 26, Turn 27, Turn 28, Turn 29, Turn 30, Turn 31, Turn 32, Turn 33, Turn 34, Turn 35, Turn 36, Turn 37, Turn 38, Turn 39, Turn 40, Turn 41, Turn 42, Turn 43, Turn 44, Turn 45, Turn 46, Turn 47, Turn 48, Turn 49, Turn 50, Turn 51, Turn 52, Turn 53, Turn 54, Turn 55, Turn 56, Turn 57, Turn 58, Turn 59, Turn 60, Turn 61, Turn 62, Turn 63, Turn 64, Turn 65, Turn 66, Turn 67, Turn 68, Turn 69, Turn 70, Turn 71, Turn 72, Turn 73, Turn 74, Turn 75, Turn 76, Turn 77, Turn 78, Turn 79, Turn 80, Turn 81, Turn 82, Turn 83, Turn 84, Turn 85
Occupy-Europe-Australia-Asia,0.083333333,0.083333333,0.084459458,0.084459458,0.084459458,0.084459458,0.085592986,0.085592986,0.085592986,0.085592986,0.086733756,0.086733756,0.086733756,0.086733756,0.087881603,0.087881603,0.087881603,0.087881603,0.088781531,0.088781531,0.088781531,0.088781531,0.089681524,0.089681524,0.089681524,0.089681524,0.090581398,0.090581398,0.090581398,0.090581398,0.090581398,0.089675711,0.089675711,0.089675711,0.088770022,0.088770022,0.088770022,0.088770022,0.087864514,0.087864514,0.087864514,0.087864514,0.086959374,0.086959374,0.086959374,0.086959374,0.088111389,0.088111389,0.088111389,0.088111389,0.088111389,0.087194848,0.087194848,0.087194848,0.087194848,0.088079097,0.088079097,0.088079097,0.087157023,0.087157023,0.087157023,0.087157023,0.088034946,0.088034946,0.088034946,0.088034946,0.089199399,0.089199399,0.089199399,0.089199399,0.08825971,0.08825971,0.08825971,0.08825971,0.08825971,0.089145937,0.089145937,0.089145937,0.099726956,0.099726956,0.098384344,0.099127167,0.151047238,0.149027994,0.152834042
Occupy-Europe-South-America-North-America,0.083333333,0.083333333,0.082770271,0.082770271,0.082770271,0.082770271,0.082203507,0.082203507,0.082203507,0.082203507,0.081633122,0.081633122,0.081633122,0.081633122,0.081059199,0.081059199,0.081059199,0.081059199,0.08025148,0.08025148,0.08025148,0.08025148,0.079443704,0.079443704,0.079443704,0.079443704,0.078636035,0.078636035,0.078636035,0.078636035,0.078636035,0.079438555,0.079438555,0.079438555,0.080241076,0.080241076,0.080241076,0.080241076,0.081043437,0.081043437,0.081043437,0.081043437,0.081845472,0.081845472,0.081845472,0.081845472,0.081271146,0.081271146,0.081271146,0.081271146,0.081271146,0.082067098,0.082067098,0.082067098,0.082067098,0.081241361,0.081241361,0.081241361,0.082031497,0.082031497,0.082031497,0.082031497,0.081200637,0.081200637,0.081200637,0.081200637,0.080629199,0.080629199,0.080629199,0.080629199,0.081407952,0.081407952,0.081407952,0.081407952,0.081407952,0.080580874,0.080580874,0.080580874,0.048820463,0.048820463,0.049146121,0.048526841,0.026012872,0.026734062,0.026331122
Occupy-Europe-South-America-Africa,0.083333333,0.083333333,0.082770271,0.082770271,0.082770271,0.082770271,0.082203507,0.082203507,0.082203507,0.082203507,0.081633122,0.081633122,0.081633122,0.081633122,0.081059199,0.081059199,0.081059199,0.081059199,0.08025148,0.08025148,0.08025148,0.08025148,0.079443704,0.079443704,0.079443704,0.079443704,0.078636035,0.078636035,0.078636035,0.078636035,0.078636035,0.079438555,0.079438555,0.079438555,0.080241076,0.080241076,0.080241076,0.080241076,0.081043437,0.081043437,0.081043437,0.081043437,0.081845472,0.081845472,0.081845472,0.081845472,0.081271146,0.081271146,0.081271146,0.081271146,0.081271146,0.082067098,0.082067098,0.082067098,0.082067098,0.081241361,0.081241361,0.081241361,0.082031497,0.082031497,0.082031497,0.082031497,0.081200637,0.081200637,0.081200637,0.081200637,0.080629199,0.080629199,0.080629199,0.080629199,0.081407952,0.081407952,0.081407952,0.081407952,0.081407952,0.080580874,0.080580874,0.080580874,0.067075818,0.067075818,0.067523248,0.066672403,0.050926416,0.052338318,0.051549466
