s0914007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOSER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conquer the continents of EUROPE and SOUTH AMERICA and a third continent of your choice., Turn 1, Turn 2, Turn 3, Turn 4, Turn 5, Turn 6, Turn 7, Turn 8, Turn 9, Turn 10, Turn 11, Turn 12, Turn 13, Turn 14, Turn 15, Turn 16, Turn 17, Turn 18, Turn 19, Turn 20, Turn 21, Turn 22, Turn 23, Turn 24, Turn 25, Turn 26, Turn 27, Turn 28, Turn 29, Turn 30, Turn 31, Turn 32, Turn 33, Turn 34, Turn 35, Turn 36, Turn 37, Turn 38, Turn 39, Turn 40, Turn 41, Turn 42, Turn 43, Turn 44, Turn 45, Turn 46, Turn 47, Turn 48, Turn 49, Turn 50, Turn 51, Turn 52, Turn 53, Turn 54, Turn 55, Turn 56, Turn 57, Turn 58, Turn 59, Turn 60, Turn 61, Turn 62, Turn 63, Turn 64, Turn 65, Turn 66, Turn 67, Turn 68, Turn 69, Turn 70, Turn 71, Turn 72, Turn 73, Turn 74, Turn 75, Turn 76, Turn 77, Turn 78, Turn 79, Turn 80, Turn 81, Turn 82, Turn 83, Turn 84, Turn 85
Occupy-Europe-South-America-Asia,0.083333333,0.083333333,0.083333333,0.083333333,0.082491583,0.082491583,0.082491583,0.081650005,0.081650005,0.081650005,0.081650005,0.08080877,0.08080877,0.08080877,0.08080877,0.07996805,0.07996805,0.07996805,0.07996805,0.079128015,0.079128015,0.079128015,0.079128015,0.079128015,0.07994087,0.07994087,0.07994087,0.080753836,0.080753836,0.080753836,0.080753836,0.080753836,0.081566745,0.081566745,0.081566745,0.082379434,0.082379434,0.082379434,0.082379434,0.083191736,0.083191736,0.083191736,0.083191736,0.084003485,0.084003485,0.084003485,0.084003485,0.085153491,0.085153491,0.085153491,0.085153491,0.085975678,0.085975678,0.085975678,0.085975678,0.085975678,0.085087034,0.085087034,0.085087034,0.085902754,0.085902754,0.085902754,0.085902754,0.085009082,0.085009082,0.085009082,0.085009082,0.086171274,0.086171274,0.086171274,0.086171274,0.086991566,0.086991566,0.086991566,0.086991566,0.086083757,0.086083757,0.086083757,0.089372692,0.092236843,0.090976027,0.092630403,0.096069896,0.031089152,0.030708526
Occupy-North-America-Africa,0.083333333,0.083333333,0.083333333,0.083333333,0.082491583,0.082491583,0.082491583,0.081650005,0.081650005,0.081650005,0.081650005,0.08080877,0.08080877,0.08080877,0.08080877,0.07996805,0.07996805,0.07996805,0.07996805,0.079128015,0.079128015,0.079128015,0.079128015,0.079128015,0.078342054,0.078342054,0.078342054,0.077555987,0.077555987,0.077555987,0.077555987,0.077555987,0.076769973,0.076769973,0.076769973,0.075984173,0.075984173,0.075984173,0.075984173,0.075198747,0.075198747,0.075198747,0.075198747,0.074413856,0.074413856,0.074413856,0.074413856,0.07392393,0.07392393,0.07392393,0.07392393,0.073144939,0.073144939,0.073144939,0.073144939,0.073144939,0.072388913,0.072388913,0.072388913,0.071621241,0.071621241,0.071621241,0.071621241,0.070876144,0.070876144,0.070876144,0.070876144,0.070408218,0.070408218,0.070408218,0.070408218,0.069656889,0.069656889,0.069656889,0.069656889,0.068929977,0.068929977,0.068929977,0.067462903,0.065530407,0.065980116,0.063229233,0.063030587,0.079437656,0.080098463
arko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOSER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conquer the continents of ASIA and SOUTH AMERICA., Turn 1, Turn 2, Turn 3, Turn 4, Turn 5, Turn 6, Turn 7, Turn 8, Turn 9, Turn 10, Turn 11, Turn 12, Turn 13, Turn 14, Turn 15, Turn 16, Turn 17, Turn 18, Turn 19, Turn 20, Turn 21, Turn 22, Turn 23, Turn 24, Turn 25, Turn 26, Turn 27, Turn 28, Turn 29, Turn 30, Turn 31, Turn 32, Turn 33, Turn 34, Turn 35, Turn 36, Turn 37, Turn 38, Turn 39, Turn 40, Turn 41, Turn 42, Turn 43, Turn 44, Turn 45, Turn 46, Turn 47, Turn 48, Turn 49, Turn 50, Turn 51, Turn 52, Turn 53, Turn 54, Turn 55, Turn 56, Turn 57, Turn 58, Turn 59, Turn 60, Turn 61, Turn 62, Turn 63, Turn 64, Turn 65, Turn 66, Turn 67, Turn 68, Turn 69, Turn 70, Turn 71, Turn 72, Turn 73, Turn 74, Turn 75, Turn 76, Turn 77, Turn 78, Turn 79, Turn 80, Turn 81, Turn 82, Turn 83, Turn 84, Turn 85
Occupy-Europe-Australia-Asia,0.082770271,0.082770271,0.082770271,0.082770271,0.082203507,0.082203507,0.082203507,0.082203507,0.082203507,0.081633122,0.081633122,0.081633122,0.082186622,0.082186622,0.082186622,0.082186622,0.082736382,0.082736382,0.082736382,0.082736382,0.08328233,0.08328233,0.08328233,0.08328233,0.083824395,0.083824395,0.083824395,0.083824395,0.083242683,0.083242683,0.083242683,0.083242683,0.082657363,0.082657363,0.082657363,0.082657363,0.083191736,0.083191736,0.083191736,0.083191736,0.083722167,0.083722167,0.083722167,0.083722167,0.084248593,0.084248593,0.084248593,0.084248593,0.083654084,0.083654084,0.083654084,0.083654084,0.08417463,0.08417463,0.08417463,0.08417463,0.083574723,0.083574723,0.083574723,0.083574723,0.084089368,0.084089368,0.084089368,0.084089368,0.084599907,0.084599907,0.084599907,0.084599907,0.084599907,0.083992841,0.083992841,0.083992841,0.084497443,0.084497443,0.084497443,0.084497443,0.083885089,0.083885089,0.083885089,0.083885089,0.158480692,0.159575123,0.159575123,0.159575123,0.099279518
Occupy-Europe-South-America-North-America,0.084459458,0.084459458,0.084459458,0.084459458,0.085592986,0.085592986,0.085592986,0.085592986,0.085592986,0.086733756,0.086733756,0.086733756,0.08732184,0.08732184,0.08732184,0.08732184,0.087905951,0.087905951,0.087905951,0.087905951,0.088486011,0.088486011,0.088486011,0.088486011,0.089061945,0.089061945,0.089061945,0.089061945,0.090248862,0.090248862,0.090248862,0.090248862,0.091443139,0.091443139,0.091443139,0.091443139,0.092034311,0.092034311,0.092034311,0.092034311,0.092621122,0.092621122,0.092621122,0.092621122,0.093203503,0.093203503,0.093203503,0.093203503,0.09443449,0.09443449,0.09443449,0.09443449,0.095022119,0.095022119,0.095022119,0.095022119,0.096270307,0.096270307,0.096270307,0.096270307,0.09686313,0.09686313,0.09686313,0.09686313,0.097451223,0.097451223,0.097451223,0.097451223,0.097451223,0.098726468,0.098726468,0.098726468,0.099319584,0.099319584,0.099319584,0.099319584,0.100612054,0.100612054,0.100612054,0.100612054,0.035194305,0.034728602,0.034728602,0.034728602,0.017841225
Occupy-Asia-Africa,0.082770271,0.082770271,0.082770271,0.082770271,0.082203507,0.082203507,0.082203507,0.082203507,0.082203507,0.081633122,0.081633122,0.081633122,0.080542891,0.080542891,0.080542891,0.080542891,0.079460025,0.079460025,0.079460025,0.079460025,0.078384668,0.078384668,0.078384668,0.078384668,0.077316959,0.077316959,0.077316959,0.077316959,0.076780406,0.076780406,0.076780406,0.076780406,0.076240526,0.076240526,0.076240526,0.076240526,0.075198747,0.075198747,0.075198747,0.075198747,0.074164652,0.074164652,0.074164652,0.074164652,0.073138365,0.073138365,0.073138365,0.073138365,0.072622256,0.072622256,0.072622256,0.072622256,0.071612674,0.071612674,0.071612674,0.071612674,0.071102295,0.071102295,0.071102295,0.071102295,0.070109335,0.070109335,0.070109335,0.070109335,0.069124297,0.069124297,0.069124297,0.069124297,0.069124297,0.06862828,0.06862828,0.06862828,0.067659766,0.067659766,0.067659766,0.067659766,0.067169435,0.067169435,0.067169435,0.067169435,0.116922125,0.113067476,0.113067476,0.113067476,0.080187055
Occupy-Europe-South-America-Africa,0.082770271,0.082770271,0.082770271,0.082770271,0.082203507,0.082203507,0.082203507,0.082203507,0.082203507,0.081633122,0.081633122,0.081633122,0.082186622,0.082186622,0.082186622,0.082186622,0.082736382,0.082736382,0.082736382,0.082736382,0.08328233,0.08328233,0.08328233,0.08328233,0.083824395,0.083824395,0.083824395,0.083824395,0.083242683,0.083242683,0.083242683,0.083242683,0.082657363,0.082657363,0.082657363,0.082657363,0.083191736,0.083191736,0.083191736,0.083191736,0.083722167,0.083722167,0.083722167,0.083722167,0.084248593,0.084248593,0.084248593,0.084248593,0.083654084,0.083654084,0.083654084,0.083654084,0.08417463,0.08417463,0.08417463,0.08417463,0.083574723,0.083574723,0.083574723,0.083574723,0.084089368,0.084089368,0.084089368,0.084089368,0.084599907,0.084599907,0.084599907,0.084599907,0.084599907,0.083992841,0.083992841,0.083992841,0.084497443,0.084497443,0.084497443,0.084497443,0.083885089,0.083885089,0.083885089,0.083885089,0.039571434,0.039047811,0.039047811,0.039047811,0.022892084
Occupy-Europe-Australia-South-America,0.082770271,0.082770271,0.082770271,0.082770271,0.082203507,0.082203507,0.082203507,0.082203507,0.082203507,0.081633122,0.081633122,0.081633122,0.082186622,0.082186622,0.082186622,0.082186622,0.082736382,0.082736382,0.082736382,0.082736382,0.08328233,0.08328233,0.08328233,0.08328233,0.083824395,0.083824395,0.083824395,0.083824395,0.083242683,0.083242683,0.083242683,0.083242683,0.082657363,0.082657363,0.082657363,0.082657363,0.083191736,0.083191736,0.083191736,0.083191736,0.083722167,0.083722167,0.083722167,0.083722167,0.084248593,0.084248593,0.084248593,0.084248593,0.083654084,0.083654084,0.083654084,0.083654084,0.08417463,0.08417463,0.08417463,0.08417463,0.083574723,0.083574723,0.083574723,0.083574723,0.084089368,0.084089368,0.084089368,0.084089368,0.084599907,0.084599907,0.084599907,0.084599907,0.084599907,0.083992841,0.083992841,0.083992841,0.084497443,0.084497443,0.084497443,0.084497443,0.083885089,0.083885089,0.083885089,0.083885089,0.059848207,0.06149133,0.06149133,0.06149133,0.046593635
