s0914007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOSER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conquer the continents of ASIA and SOUTH AMERICA., Turn 1, Turn 2, Turn 3, Turn 4, Turn 5, Turn 6, Turn 7, Turn 8, Turn 9, Turn 10, Turn 11, Turn 12, Turn 13, Turn 14, Turn 15, Turn 16, Turn 17, Turn 18, Turn 19, Turn 20, Turn 21, Turn 22, Turn 23, Turn 24, Turn 25, Turn 26, Turn 27, Turn 28, Turn 29, Turn 30, Turn 31, Turn 32, Turn 33, Turn 34, Turn 35, Turn 36, Turn 37, Turn 38, Turn 39, Turn 40, Turn 41, Turn 42, Turn 43, Turn 44, Turn 45, Turn 46, Turn 47, Turn 48, Turn 49, Turn 50, Turn 51, Turn 52, Turn 53, Turn 54, Turn 55, Turn 56, Turn 57, Turn 58, Turn 59, Turn 60, Turn 61, Turn 62, Turn 63, Turn 64, Turn 65, Turn 66, Turn 67, Turn 68, Turn 69, Turn 70, Turn 71, Turn 72, Turn 73, Turn 74, Turn 75, Turn 76, Turn 77, Turn 78, Turn 79, Turn 80, Turn 81, Turn 82, Turn 83, Turn 84, Turn 85, Turn 86, Turn 87, Turn 88, Turn 89, Turn 90, Turn 91, Turn 92
Occupy-Europe-South-America-Asia,0.084175083,0.084175083,0.084175083,0.084175083,0.085016662,0.085016662,0.085016662,0.085016662,0.085016662,0.085857897,0.085857897,0.085857897,0.086698617,0.086698617,0.086698617,0.086698617,0.087538651,0.087538651,0.087538651,0.087538651,0.08837783,0.08837783,0.08837783,0.08837783,0.089215983,0.089215983,0.089215983,0.089215983,0.090052942,0.090052942,0.090052942,0.090052942,0.090888538,0.090888538,0.090888538,0.090888538,0.091722605,0.091722605,0.091722605,0.091722605,0.092554978,0.092554978,0.092554978,0.092554978,0.09380572,0.09380572,0.09380572,0.09380572,0.095064683,0.095064683,0.095064683,0.095064683,0.096331691,0.096331691,0.096331691,0.096331691,0.097196094,0.097196094,0.097196094,0.097196094,0.098058393,0.098058393,0.098058393,0.098058393,0.098918421,0.098918421,0.098918421,0.098918421,0.099776011,0.099776011,0.099776011,0.099776011,0.100631,0.100631,0.100631,0.100631,0.101962765,0.101962765,0.099307446,0.099519167,0.081021618,0.082171312,0.083397575,0.083308926,0.138085921,0.138085921,0.138085921,0.137036146,0.113235396,0.112426687,0.112426687,0.158162637
Occupy-North-America-Africa,0.082491583,0.082491583,0.082491583,0.082491583,0.081650005,0.081650005,0.081650005,0.081650005,0.081650005,0.08080877,0.08080877,0.08080877,0.07996805,0.07996805,0.07996805,0.07996805,0.079128015,0.079128015,0.079128015,0.079128015,0.078288837,0.078288837,0.078288837,0.078288837,0.077450684,0.077450684,0.077450684,0.077450684,0.076613725,0.076613725,0.076613725,0.076613725,0.075778129,0.075778129,0.075778129,0.075778129,0.074944061,0.074944061,0.074944061,0.074944061,0.074111689,0.074111689,0.074111689,0.074111689,0.073610934,0.073610934,0.073610934,0.073610934,0.073106888,0.073106888,0.073106888,0.073106888,0.072599622,0.072599622,0.072599622,0.072599622,0.071786053,0.071786053,0.071786053,0.071786053,0.070974464,0.070974464,0.070974464,0.070974464,0.070165012,0.070165012,0.070165012,0.070165012,0.069357855,0.069357855,0.069357855,0.069357855,0.068553146,0.068553146,0.068553146,0.068553146,0.068071182,0.068071182,0.069032139,0.069179314,0.073292822,0.072846188,0.07248362,0.072406571,0.050597412,0.050597412,0.050597412,0.051237503,0.070032314,0.070922796,0.070922796,0.029905363
aneesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WINNER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conquer the continents of EUROPE and AUSTRALIA and a third continent of your choice., Turn 1, Turn 2, Turn 3, Turn 4, Turn 5, Turn 6, Turn 7, Turn 8, Turn 9, Turn 10, Turn 11, Turn 12, Turn 13, Turn 14, Turn 15, Turn 16, Turn 17, Turn 18, Turn 19, Turn 20, Turn 21, Turn 22, Turn 23, Turn 24, Turn 25, Turn 26, Turn 27, Turn 28, Turn 29, Turn 30, Turn 31, Turn 32, Turn 33, Turn 34, Turn 35, Turn 36, Turn 37, Turn 38, Turn 39, Turn 40, Turn 41, Turn 42, Turn 43, Turn 44, Turn 45, Turn 46, Turn 47, Turn 48, Turn 49, Turn 50, Turn 51, Turn 52, Turn 53, Turn 54, Turn 55, Turn 56, Turn 57, Turn 58, Turn 59, Turn 60, Turn 61, Turn 62, Turn 63, Turn 64, Turn 65, Turn 66, Turn 67, Turn 68, Turn 69, Turn 70, Turn 71, Turn 72, Turn 73, Turn 74, Turn 75, Turn 76, Turn 77, Turn 78, Turn 79, Turn 80, Turn 81, Turn 82, Turn 83, Turn 84, Turn 85, Turn 86, Turn 87, Turn 88, Turn 89, Turn 90, Turn 91, Turn 92
Occupy-Europe-Australia-Asia,0.083333333,0.084459458,0.084459458,0.084459458,0.084459458,0.085592986,0.085592986,0.085592986,0.085592986,0.086733756,0.086733756,0.086733756,0.086733756,0.087881603,0.087881603,0.087881603,0.087881603,0.088781531,0.088781531,0.088781531,0.088781531,0.089681524,0.089681524,0.089681524,0.089681524,0.090866289,0.090866289,0.090866289,0.090866289,0.092058127,0.092058127,0.092058127,0.092058127,0.093256857,0.093256857,0.093256857,0.093256857,0.094202555,0.094202555,0.094202555,0.094202555,0.095423612,0.095423612,0.095423612,0.095423612,0.096651355,0.096651355,0.096651355,0.096651355,0.097628487,0.097628487,0.097628487,0.097628487,0.098878755,0.098878755,0.098878755,0.098878755,0.098255892,0.098255892,0.098255892,0.098255892,0.097628355,0.097628355,0.097628355,0.097628355,0.09699622,0.09699622,0.09699622,0.09699622,0.098243131,0.098243131,0.098243131,0.098243131,0.097603036,0.097603036,0.097603036,0.097603036,0.09885317,0.100059876,0.100698999,0.100698999,0.067640513,0.066514937,0.066514937,0.066514937,0.110606351,0.110606351,0.110606351,0.110606351,0.107367679,0.107359434,0.104038854
Occupy-Europe-South-America-North-America,0.083333333,0.082770271,0.082770271,0.082770271,0.082770271,0.082203507,0.082203507,0.082203507,0.082203507,0.081633122,0.081633122,0.081633122,0.081633122,0.081059199,0.081059199,0.081059199,0.081059199,0.08025148,0.08025148,0.08025148,0.08025148,0.079443704,0.079443704,0.079443704,0.079443704,0.078883356,0.078883356,0.078883356,0.078883356,0.078319663,0.078319663,0.078319663,0.078319663,0.077752709,0.077752709,0.077752709,0.077752709,0.076970361,0.076970361,0.076970361,0.076970361,0.076408694,0.076408694,0.076408694,0.076408694,0.075843952,0.075843952,0.075843952,0.075843952,0.075078511,0.075078511,0.075078511,0.075078511,0.074519197,0.074519197,0.074519197,0.074519197,0.075561,0.075561,0.075561,0.075561,0.076610621,0.076610621,0.076610621,0.076610621,0.077667931,0.077667931,0.077667931,0.077667931,0.077093046,0.077093046,0.077093046,0.077093046,0.078153828,0.078153828,0.078153828,0.078153828,0.077571754,0.0770099,0.077501793,0.077501793,0.079535998,0.079808646,0.079808646,0.079808646,0.059790401,0.059790401,0.059790401,0.059790401,0.054505267,0.054501081,0.055037133
Occupy-Europe-South-America-Africa,0.083333333,0.082770271,0.082770271,0.082770271,0.082770271,0.082203507,0.082203507,0.082203507,0.082203507,0.081633122,0.081633122,0.081633122,0.081633122,0.081059199,0.081059199,0.081059199,0.081059199,0.08025148,0.08025148,0.08025148,0.08025148,0.079443704,0.079443704,0.079443704,0.079443704,0.078883356,0.078883356,0.078883356,0.078883356,0.078319663,0.078319663,0.078319663,0.078319663,0.077752709,0.077752709,0.077752709,0.077752709,0.076970361,0.076970361,0.076970361,0.076970361,0.076408694,0.076408694,0.076408694,0.076408694,0.075843952,0.075843952,0.075843952,0.075843952,0.075078511,0.075078511,0.075078511,0.075078511,0.074519197,0.074519197,0.074519197,0.074519197,0.074049781,0.074049781,0.074049781,0.074049781,0.073576843,0.073576843,0.073576843,0.073576843,0.07310044,0.07310044,0.07310044,0.07310044,0.072559362,0.072559362,0.072559362,0.072559362,0.072086608,0.072086608,0.072086608,0.072086608,0.071549721,0.071031485,0.070055489,0.070055489,0.055509941,0.055700228,0.055700228,0.055700228,0.052475605,0.052475605,0.052475605,0.052475605,0.08372946,0.08372303,0.084546498
Occupy-Asia-Africa,0.083333333,0.084459458,0.084459458,0.084459458,0.084459458,0.085592986,0.085592986,0.085592986,0.085592986,0.086733756,0.086733756,0.086733756,0.086733756,0.087881603,0.087881603,0.087881603,0.087881603,0.087005902,0.087005902,0.087005902,0.087005902,0.086130139,0.086130139,0.086130139,0.086130139,0.087267987,0.087267987,0.087267987,0.087267987,0.088412629,0.088412629,0.088412629,0.088412629,0.089563889,0.089563889,0.089563889,0.089563889,0.088662696,0.088662696,0.088662696,0.088662696,0.089811946,0.089811946,0.089811946,0.089811946,0.090967487,0.090967487,0.090967487,0.090967487,0.090049415,0.090049415,0.090049415,0.090049415,0.091202622,0.091202622,0.091202622,0.091202622,0.090628113,0.090628113,0.090628113,0.090628113,0.090049293,0.090049293,0.090049293,0.090049293,0.089466232,0.089466232,0.089466232,0.089466232,0.090616343,0.090616343,0.090616343,0.090616343,0.09002594,0.09002594,0.09002594,0.09002594,0.091179024,0.092292051,0.091023928,0.091023928,0.033929419,0.033364814,0.033364814,0.033364814,0.058155229,0.058155229,0.058155229,0.058155229,0.043347276,0.043361292,0.042020146
Occupy-Europe-Australia-South-America,0.083333333,0.082770271,0.082770271,0.082770271,0.082770271,0.082203507,0.082203507,0.082203507,0.082203507,0.081633122,0.081633122,0.081633122,0.081633122,0.081059199,0.081059199,0.081059199,0.081059199,0.081889264,0.081889264,0.081889264,0.081889264,0.082719389,0.082719389,0.082719389,0.082719389,0.082135936,0.082135936,0.082135936,0.082135936,0.081549,0.081549,0.081549,0.081549,0.08095867,0.08095867,0.08095867,0.08095867,0.081779655,0.081779655,0.081779655,0.081779655,0.081182893,0.081182893,0.081182893,0.081182893,0.080582865,0.080582865,0.080582865,0.080582865,0.081397547,0.081397547,0.081397547,0.081397547,0.080791157,0.080791157,0.080791157,0.080791157,0.080282233,0.080282233,0.080282233,0.080282233,0.079769489,0.079769489,0.079769489,0.079769489,0.079252989,0.079252989,0.079252989,0.079252989,0.078666372,0.078666372,0.078666372,0.078666372,0.078153828,0.078153828,0.078153828,0.078153828,0.077571754,0.0770099,0.077501793,0.077501793,0.103586505,0.103941598,0.103941598,0.103941598,0.101038664,0.101038664,0.101038664,0.101038664,0.124514836,0.124505274,0.125729861
