s0914007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOSER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conquer the continents of ASIA and SOUTH AMERICA., Turn 1, Turn 2, Turn 3, Turn 4, Turn 5, Turn 6, Turn 7, Turn 8, Turn 9, Turn 10, Turn 11, Turn 12, Turn 13, Turn 14, Turn 15, Turn 16, Turn 17, Turn 18, Turn 19, Turn 20, Turn 21, Turn 22, Turn 23, Turn 24, Turn 25, Turn 26, Turn 27, Turn 28, Turn 29, Turn 30, Turn 31, Turn 32, Turn 33, Turn 34, Turn 35, Turn 36, Turn 37, Turn 38, Turn 39, Turn 40, Turn 41, Turn 42, Turn 43, Turn 44, Turn 45, Turn 46, Turn 47, Turn 48, Turn 49, Turn 50, Turn 51, Turn 52, Turn 53, Turn 54, Turn 55, Turn 56, Turn 57, Turn 58, Turn 59, Turn 60, Turn 61, Turn 62, Turn 63, Turn 64, Turn 65, Turn 66, Turn 67, Turn 68, Turn 69, Turn 70, Turn 71, Turn 72, Turn 73, Turn 74, Turn 75, Turn 76, Turn 77, Turn 78, Turn 79, Turn 80, Turn 81, Turn 82, Turn 83, Turn 84, Turn 85, Turn 86, Turn 87, Turn 88, Turn 89, Turn 90, Turn 91, Turn 92
Occupy-Europe-South-America-Australia,0.083333333,0.082770271,0.082770271,0.082770271,0.082770271,0.082203507,0.082203507,0.082203507,0.082203507,0.081633122,0.081633122,0.081633122,0.081633122,0.081059199,0.081059199,0.081059199,0.081059199,0.081889264,0.081889264,0.081889264,0.081889264,0.082719389,0.082719389,0.082719389,0.082719389,0.082135936,0.082135936,0.082135936,0.082135936,0.081549,0.081549,0.081549,0.081549,0.08095867,0.08095867,0.08095867,0.08095867,0.081779655,0.081779655,0.081779655,0.081779655,0.081182893,0.081182893,0.081182893,0.081182893,0.080582865,0.080582865,0.080582865,0.080582865,0.081397547,0.081397547,0.081397547,0.081397547,0.080791157,0.080791157,0.080791157,0.080791157,0.080282233,0.080282233,0.080282233,0.080282233,0.079769489,0.079769489,0.079769489,0.079769489,0.079252989,0.079252989,0.079252989,0.079252989,0.078666372,0.078666372,0.078666372,0.078666372,0.078153828,0.078153828,0.078153828,0.078153828,0.077571754,0.0770099,0.077501793,0.077501793,0.103586505,0.103941598,0.103941598,0.103941598,0.101038664,0.101038664,0.101038664,0.101038664,0.124514836,0.124505274,0.125729861
Occupy-Europe-Australia-Africa,0.083333333,0.082770271,0.082770271,0.082770271,0.082770271,0.082203507,0.082203507,0.082203507,0.082203507,0.081633122,0.081633122,0.081633122,0.081633122,0.081059199,0.081059199,0.081059199,0.081059199,0.081889264,0.081889264,0.081889264,0.081889264,0.082719389,0.082719389,0.082719389,0.082719389,0.082135936,0.082135936,0.082135936,0.082135936,0.081549,0.081549,0.081549,0.081549,0.08095867,0.08095867,0.08095867,0.08095867,0.081779655,0.081779655,0.081779655,0.081779655,0.081182893,0.081182893,0.081182893,0.081182893,0.080582865,0.080582865,0.080582865,0.080582865,0.081397547,0.081397547,0.081397547,0.081397547,0.080791157,0.080791157,0.080791157,0.080791157,0.080282233,0.080282233,0.080282233,0.080282233,0.079769489,0.079769489,0.079769489,0.079769489,0.079252989,0.079252989,0.079252989,0.079252989,0.078666372,0.078666372,0.078666372,0.078666372,0.078153828,0.078153828,0.078153828,0.078153828,0.077571754,0.0770099,0.075951759,0.075951759,0.101514777,0.101862768,0.101862768,0.101862768,0.095965683,0.095965683,0.095965683,0.095965683,0.153121718,0.153109959,0.15461589
Occupy-North-America-Australia,0.083333333,0.082770271,0.082770271,0.082770271,0.082770271,0.082203507,0.082203507,0.082203507,0.082203507,0.081633122,0.081633122,0.081633122,0.081633122,0.081059199,0.081059199,0.081059199,0.081059199,0.081889264,0.081889264,0.081889264,0.081889264,0.082719389,0.082719389,0.082719389,0.082719389,0.082135936,0.082135936,0.082135936,0.082135936,0.081549,0.081549,0.081549,0.081549,0.08095867,0.08095867,0.08095867,0.08095867,0.081779655,0.081779655,0.081779655,0.081779655,0.081182893,0.081182893,0.081182893,0.081182893,0.080582865,0.080582865,0.080582865,0.080582865,0.081397547,0.081397547,0.081397547,0.081397547,0.080791157,0.080791157,0.080791157,0.080791157,0.081920644,0.081920644,0.081920644,0.081920644,0.083058607,0.083058607,0.083058607,0.083058607,0.084204907,0.084204907,0.084204907,0.084204907,0.083581636,0.083581636,0.083581636,0.083581636,0.084731699,0.084731699,0.084731699,0.084731699,0.084100635,0.083491492,0.084024786,0.084024786,0.153753675,0.15428074,0.15428074,0.15428074,0.125852429,0.125852429,0.125852429,0.125852429,0.069481249,0.069503715,0.070187327
Occupy-Europe-Australia-North-America,0.083333333,0.082770271,0.082770271,0.082770271,0.082770271,0.082203507,0.082203507,0.082203507,0.082203507,0.081633122,0.081633122,0.081633122,0.081633122,0.081059199,0.081059199,0.081059199,0.081059199,0.081889264,0.081889264,0.081889264,0.081889264,0.082719389,0.082719389,0.082719389,0.082719389,0.082135936,0.082135936,0.082135936,0.082135936,0.081549,0.081549,0.081549,0.081549,0.08095867,0.08095867,0.08095867,0.08095867,0.081779655,0.081779655,0.081779655,0.081779655,0.081182893,0.081182893,0.081182893,0.081182893,0.080582865,0.080582865,0.080582865,0.080582865,0.081397547,0.081397547,0.081397547,0.081397547,0.080791157,0.080791157,0.080791157,0.080791157,0.081920644,0.081920644,0.081920644,0.081920644,0.083058607,0.083058607,0.083058607,0.083058607,0.084204907,0.084204907,0.084204907,0.084204907,0.083581636,0.083581636,0.083581636,0.083581636,0.084731699,0.084731699,0.084731699,0.084731699,0.084100635,0.083491492,0.084024786,0.084024786,0.153753675,0.15428074,0.15428074,0.15428074,0.115582807,0.115582807,0.115582807,0.115582807,0.105365938,0.105357847,0.106394106
Occupy-Asia-South-America,0.083333333,0.084459458,0.084459458,0.084459458,0.084459458,0.085592986,0.085592986,0.085592986,0.085592986,0.086733756,0.086733756,0.086733756,0.086733756,0.087881603,0.087881603,0.087881603,0.087881603,0.087005902,0.087005902,0.087005902,0.087005902,0.086130139,0.086130139,0.086130139,0.086130139,0.087267987,0.087267987,0.087267987,0.087267987,0.088412629,0.088412629,0.088412629,0.088412629,0.089563889,0.089563889,0.089563889,0.089563889,0.088662696,0.088662696,0.088662696,0.088662696,0.089811946,0.089811946,0.089811946,0.089811946,0.090967487,0.090967487,0.090967487,0.090967487,0.090049415,0.090049415,0.090049415,0.090049415,0.091202622,0.091202622,0.091202622,0.091202622,0.090628113,0.090628113,0.090628113,0.090628113,0.090049293,0.090049293,0.090049293,0.090049293,0.089466232,0.089466232,0.089466232,0.089466232,0.090616343,0.090616343,0.090616343,0.090616343,0.09002594,0.09002594,0.09002594,0.09002594,0.091179024,0.092292051,0.092881557,0.092881557,0.034621855,0.034045728,0.034045728,0.034045728,0.06104432,0.06104432,0.06104432,0.06104432,0.035590778,0.035602286,0.034501123
Occupy-Europe-South-America-Asia,0.083333333,0.084459458,0.084459458,0.084459458,0.084459458,0.085592986,0.085592986,0.085592986,0.085592986,0.086733756,0.086733756,0.086733756,0.086733756,0.087881603,0.087881603,0.087881603,0.087881603,0.087005902,0.087005902,0.087005902,0.087005902,0.086130139,0.086130139,0.086130139,0.086130139,0.087267987,0.087267987,0.087267987,0.087267987,0.088412629,0.088412629,0.088412629,0.088412629,0.089563889,0.089563889,0.089563889,0.089563889,0.088662696,0.088662696,0.088662696,0.088662696,0.089811946,0.089811946,0.089811946,0.089811946,0.090967487,0.090967487,0.090967487,0.090967487,0.090049415,0.090049415,0.090049415,0.090049415,0.091202622,0.091202622,0.091202622,0.091202622,0.090628113,0.090628113,0.090628113,0.090628113,0.090049293,0.090049293,0.090049293,0.090049293,0.089466232,0.089466232,0.089466232,0.089466232,0.090616343,0.090616343,0.090616343,0.090616343,0.09002594,0.09002594,0.09002594,0.09002594,0.091179024,0.092292051,0.092881557,0.092881557,0.034621855,0.034045728,0.034045728,0.034045728,0.056613957,0.056613957,0.056613957,0.056613957,0.05495624,0.05495202,0.053252378
Occupy-North-America-Africa,0.083333333,0.082770271,0.082770271,0.082770271,0.082770271,0.082203507,0.082203507,0.082203507,0.082203507,0.081633122,0.081633122,0.081633122,0.081633122,0.081059199,0.081059199,0.081059199,0.081059199,0.08025148,0.08025148,0.08025148,0.08025148,0.079443704,0.079443704,0.079443704,0.079443704,0.078883356,0.078883356,0.078883356,0.078883356,0.078319663,0.078319663,0.078319663,0.078319663,0.077752709,0.077752709,0.077752709,0.077752709,0.076970361,0.076970361,0.076970361,0.076970361,0.076408694,0.076408694,0.076408694,0.076408694,0.075843952,0.075843952,0.075843952,0.075843952,0.075078511,0.075078511,0.075078511,0.075078511,0.074519197,0.074519197,0.074519197,0.074519197,0.075561,0.075561,0.075561,0.075561,0.076610621,0.076610621,0.076610621,0.076610621,0.077667931,0.077667931,0.077667931,0.077667931,0.077093046,0.077093046,0.077093046,0.077093046,0.078153828,0.078153828,0.078153828,0.078153828,0.077571754,0.0770099,0.075951759,0.075951759,0.07794528,0.078212475,0.078212475,0.078212475,0.061835891,0.061835891,0.061835891,0.061835891,0.043504723,0.04351879,0.043946824
arko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOSER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conquer the continents of ASIA and AFRICA., Turn 1, Turn 2, Turn 3, Turn 4, Turn 5, Turn 6, Turn 7, Turn 8, Turn 9, Turn 10, Turn 11, Turn 12, Turn 13, Turn 14, Turn 15, Turn 16, Turn 17, Turn 18, Turn 19, Turn 20, Turn 21, Turn 22, Turn 23, Turn 24, Turn 25, Turn 26, Turn 27, Turn 28, Turn 29, Turn 30, Turn 31, Turn 32, Turn 33, Turn 34, Turn 35, Turn 36, Turn 37, Turn 38, Turn 39, Turn 40, Turn 41, Turn 42, Turn 43, Turn 44, Turn 45, Turn 46, Turn 47, Turn 48, Turn 49, Turn 50, Turn 51, Turn 52, Turn 53, Turn 54, Turn 55, Turn 56, Turn 57, Turn 58, Turn 59, Turn 60, Turn 61, Turn 62, Turn 63, Turn 64, Turn 65, Turn 66, Turn 67, Turn 68, Turn 69, Turn 70, Turn 71, Turn 72, Turn 73, Turn 74, Turn 75, Turn 76, Turn 77, Turn 78, Turn 79, Turn 80, Turn 81, Turn 82, Turn 83, Turn 84, Turn 85, Turn 86, Turn 87, Turn 88, Turn 89, Turn 90, Turn 91, Turn 92
Occupy-Europe-Australia-Asia,0.083333333,0.083333333,0.082770271,0.082770271,0.082770271,0.082770271,0.083889744,0.083889744,0.083889744,0.083889744,0.085016603,0.085016603,0.085016603,0.085016603,0.084436404,0.084436404,0.084436404,0.084436404,0.085563744,0.085563744,0.085563744,0.085563744,0.086698131,0.086698131,0.086698131,0.086698131,0.087839397,0.087839397,0.087839397,0.087839397,0.088987369,0.088987369,0.088987369,0.088987369,0.090141871,0.090141871,0.090141871,0.090141871,0.091302722,0.091302722,0.091302722,0.091302722,0.092469734,0.092469734,0.092469734,0.092469734,0.093642717,0.093642717,0.093642717,0.093642717,0.094821476,0.094821476,0.094821476,0.094821476,0.096005811,0.096005811,0.096005811,0.096005811,0.097195518,0.097195518,0.097195518,0.097195518,0.09839039,0.09839039,0.09839039,0.09839039,0.09839039,0.099590215,0.099590215,0.099590215,0.100794777,0.100794777,0.100794777,0.100794777,0.102003858,0.102003858,0.102003858,0.102003858,0.163874857,0.161028001,0.161236998,0.158982619,0.155268307,0.156167568,0.155516767,0.154510563,0.115931718,0.114700212,0.115376248,0.116330585,0.116330585,0.116330585
Occupy-Europe-South-America-North-America,0.083333333,0.083333333,0.082770271,0.082770271,0.082770271,0.082770271,0.082211951,0.082211951,0.082211951,0.082211951,0.081649948,0.081649948,0.081649948,0.081649948,0.081092725,0.081092725,0.081092725,0.081092725,0.080531916,0.080531916,0.080531916,0.080531916,0.079967602,0.079967602,0.079967602,0.079967602,0.079399865,0.079399865,0.079399865,0.079399865,0.078828792,0.078828792,0.078828792,0.078828792,0.078254471,0.078254471,0.078254471,0.078254471,0.077676992,0.077676992,0.077676992,0.077676992,0.077096447,0.077096447,0.077096447,0.077096447,0.076512933,0.076512933,0.076512933,0.076512933,0.075926545,0.075926545,0.075926545,0.075926545,0.075337383,0.075337383,0.075337383,0.075337383,0.074745548,0.074745548,0.074745548,0.074745548,0.074151145,0.074151145,0.074151145,0.074151145,0.072668123,0.073554277,0.073554277,0.073554277,0.072955053,0.072955053,0.072955053,0.072955053,0.072353581,0.072353581,0.072353581,0.072353581,0.014534573,0.014561891,0.014289175,0.014089387,0.01090927,0.010972453,0.011381819,0.01201474,0.011233266,0.010896019,0.011183918,0.011276426,0.011276426,0.011276426
Occupy-Asia-Africa,0.083333333,0.083333333,0.084459458,0.084459458,0.084459458,0.084459458,0.085601778,0.085601778,0.085601778,0.085601778,0.086751634,0.086751634,0.086751634,0.086751634,0.087917951,0.087917951,0.087917951,0.087917951,0.089091775,0.089091775,0.089091775,0.089091775,0.090272936,0.090272936,0.090272936,0.090272936,0.091461259,0.091461259,0.091461259,0.091461259,0.092656566,0.092656566,0.092656566,0.092656566,0.093858671,0.093858671,0.093858671,0.093858671,0.095067387,0.095067387,0.095067387,0.095067387,0.096282518,0.096282518,0.096282518,0.096282518,0.097503866,0.097503866,0.097503866,0.097503866,0.098731229,0.098731229,0.098731229,0.098731229,0.099964397,0.099964397,0.099964397,0.099964397,0.101203159,0.101203159,0.101203159,0.101203159,0.102447299,0.102447299,0.102447299,0.102447299,0.102447299,0.103696596,0.103696596,0.103696596,0.104950826,0.104950826,0.104950826,0.104950826,0.106209761,0.106209761,0.106209761,0.106209761,0.238406559,0.239045841,0.239356096,0.240825989,0.249034838,0.250477163,0.249433343,0.247819493,0.346113264,0.349425108,0.344317133,0.340221862,0.340221862,0.340221862
Occupy-Europe-South-America-Africa,0.083333333,0.083333333,0.084459458,0.084459458,0.084459458,0.084459458,0.083889744,0.083889744,0.083889744,0.083889744,0.083316272,0.083316272,0.083316272,0.083316272,0.084436404,0.084436404,0.084436404,0.084436404,0.083852471,0.083852471,0.083852471,0.083852471,0.083264888,0.083264888,0.083264888,0.083264888,0.082673742,0.082673742,0.082673742,0.082673742,0.082079122,0.082079122,0.082079122,0.082079122,0.08148112,0.08148112,0.08148112,0.08148112,0.08087983,0.08087983,0.08087983,0.08087983,0.080275348,0.080275348,0.080275348,0.080275348,0.079667773,0.079667773,0.079667773,0.079667773,0.079057207,0.079057207,0.079057207,0.079057207,0.078443752,0.078443752,0.078443752,0.078443752,0.077827515,0.077827515,0.077827515,0.077827515,0.077208602,0.077208602,0.077208602,0.077208602,0.075664432,0.076587124,0.076587124,0.076587124,0.075963192,0.075963192,0.075963192,0.075963192,0.07533692,0.07533692,0.07533692,0.07533692,0.019221972,0.018510285,0.01853431,0.018648129,0.013539586,0.013890362,0.014408592,0.015209826,0.022265831,0.021597361,0.021715965,0.021457678,0.021457678,0.021457678
Occupy-Europe-Australia-South-America,0.083333333,0.083333333,0.082770271,0.082770271,0.082770271,0.082770271,0.082211951,0.082211951,0.082211951,0.082211951,0.081649948,0.081649948,0.081649948,0.081649948,0.081092725,0.081092725,0.081092725,0.081092725,0.080531916,0.080531916,0.080531916,0.080531916,0.079967602,0.079967602,0.079967602,0.079967602,0.079399865,0.079399865,0.079399865,0.079399865,0.078828792,0.078828792,0.078828792,0.078828792,0.078254471,0.078254471,0.078254471,0.078254471,0.077676992,0.077676992,0.077676992,0.077676992,0.077096447,0.077096447,0.077096447,0.077096447,0.076512933,0.076512933,0.076512933,0.076512933,0.075926545,0.075926545,0.075926545,0.075926545,0.075337383,0.075337383,0.075337383,0.075337383,0.074745548,0.074745548,0.074745548,0.074745548,0.074151145,0.074151145,0.074151145,0.074151145,0.072668123,0.073554277,0.073554277,0.073554277,0.072955053,0.072955053,0.072955053,0.072955053,0.072353581,0.072353581,0.072353581,0.072353581,0.018460783,0.01814008,0.018163624,0.017909664,0.013432303,0.013510099,0.014014141,0.01479344,0.013831232,0.013415988,0.01377047,0.013884373,0.013884373,0.013884373
Occupy-Europe-South-America-Australia,0.083333333,0.083333333,0.082770271,0.082770271,0.082770271,0.082770271,0.082211951,0.082211951,0.082211951,0.082211951,0.081649948,0.081649948,0.081649948,0.081649948,0.081092725,0.081092725,0.081092725,0.081092725,0.080531916,0.080531916,0.080531916,0.080531916,0.079967602,0.079967602,0.079967602,0.079967602,0.079399865,0.079399865,0.079399865,0.079399865,0.078828792,0.078828792,0.078828792,0.078828792,0.078254471,0.078254471,0.078254471,0.078254471,0.077676992,0.077676992,0.077676992,0.077676992,0.077096447,0.077096447,0.077096447,0.077096447,0.076512933,0.076512933,0.076512933,0.076512933,0.075926545,0.075926545,0.075926545,0.075926545,0.075337383,0.075337383,0.075337383,0.075337383,0.074745548,0.074745548,0.074745548,0.074745548,0.074151145,0.074151145,0.074151145,0.074151145,0.072668123,0.073554277,0.073554277,0.073554277,0.072955053,0.072955053,0.072955053,0.072955053,0.072353581,0.072353581,0.072353581,0.072353581,0.018460783,0.01814008,0.018163624,0.017909664,0.013432303,0.013510099,0.014014141,0.01479344,0.013831232,0.013415988,0.01377047,0.013884373,0.013884373,0.013884373
Occupy-Europe-Australia-Africa,0.083333333,0.083333333,0.084459458,0.084459458,0.084459458,0.084459458,0.083889744,0.083889744,0.083889744,0.083889744,0.083316272,0.083316272,0.083316272,0.083316272,0.084436404,0.084436404,0.084436404,0.084436404,0.083852471,0.083852471,0.083852471,0.083852471,0.083264888,0.083264888,0.083264888,0.083264888,0.082673742,0.082673742,0.082673742,0.082673742,0.082079122,0.082079122,0.082079122,0.082079122,0.08148112,0.08148112,0.08148112,0.08148112,0.08087983,0.08087983,0.08087983,0.08087983,0.080275348,0.080275348,0.080275348,0.080275348,0.079667773,0.079667773,0.079667773,0.079667773,0.079057207,0.079057207,0.079057207,0.079057207,0.078443752,0.078443752,0.078443752,0.078443752,0.077827515,0.077827515,0.077827515,0.077827515,0.077208602,0.077208602,0.077208602,0.077208602,0.075664432,0.076587124,0.076587124,0.076587124,0.075963192,0.075963192,0.075963192,0.075963192,0.07533692,0.07533692,0.07533692,0.07533692,0.015133874,0.014573547,0.014592462,0.014388434,0.010107134,0.010368985,0.010755837,0.011353948,0.016621169,0.016122165,0.016210701,0.016017893,0.016017893,0.016017893
Occupy-Europe-Australia-North-America,0.083333333,0.083333333,0.082770271,0.082770271,0.082770271,0.082770271,0.082211951,0.082211951,0.082211951,0.082211951,0.081649948,0.081649948,0.081649948,0.081649948,0.081092725,0.081092725,0.081092725,0.081092725,0.080531916,0.080531916,0.080531916,0.080531916,0.079967602,0.079967602,0.079967602,0.079967602,0.079399865,0.079399865,0.079399865,0.079399865,0.078828792,0.078828792,0.078828792,0.078828792,0.078254471,0.078254471,0.078254471,0.078254471,0.077676992,0.077676992,0.077676992,0.077676992,0.077096447,0.077096447,0.077096447,0.077096447,0.076512933,0.076512933,0.076512933,0.076512933,0.075926545,0.075926545,0.075926545,0.075926545,0.075337383,0.075337383,0.075337383,0.075337383,0.074745548,0.074745548,0.074745548,0.074745548,0.074151145,0.074151145,0.074151145,0.074151145,0.072668123,0.073554277,0.073554277,0.073554277,0.072955053,0.072955053,0.072955053,0.072955053,0.072353581,0.072353581,0.072353581,0.072353581,0.011318191,0.011339464,0.011127098,0.010752091,0.008064102,0.008110806,0.008413408,0.008881262,0.008303599,0.008054306,0.00826712,0.008335502,0.008335502,0.008335502
Occupy-North-America-Australia,0.083333333,0.083333333,0.082770271,0.082770271,0.082770271,0.082770271,0.082211951,0.082211951,0.082211951,0.082211951,0.081649948,0.081649948,0.081649948,0.081649948,0.081092725,0.081092725,0.081092725,0.081092725,0.080531916,0.080531916,0.080531916,0.080531916,0.079967602,0.079967602,0.079967602,0.079967602,0.079399865,0.079399865,0.079399865,0.079399865,0.078828792,0.078828792,0.078828792,0.078828792,0.078254471,0.078254471,0.078254471,0.078254471,0.077676992,0.077676992,0.077676992,0.077676992,0.077096447,0.077096447,0.077096447,0.077096447,0.076512933,0.076512933,0.076512933,0.076512933,0.075926545,0.075926545,0.075926545,0.075926545,0.075337383,0.075337383,0.075337383,0.075337383,0.074745548,0.074745548,0.074745548,0.074745548,0.074151145,0.074151145,0.074151145,0.074151145,0.072668123,0.073554277,0.073554277,0.073554277,0.072955053,0.072955053,0.072955053,0.072955053,0.072353581,0.072353581,0.072353581,0.072353581,0.018460783,0.0192581,0.018897433,0.01826055,0.015044547,0.014834981,0.015388452,0.016244174,0.017719925,0.017538708,0.018002122,0.018151027,0.018151027,0.018151027
Occupy-Asia-South-America,0.083333333,0.083333333,0.082770271,0.082770271,0.082770271,0.082770271,0.083889744,0.083889744,0.083889744,0.083889744,0.085016603,0.085016603,0.085016603,0.085016603,0.084436404,0.084436404,0.084436404,0.084436404,0.085563744,0.085563744,0.085563744,0.085563744,0.086698131,0.086698131,0.086698131,0.086698131,0.087839397,0.087839397,0.087839397,0.087839397,0.088987369,0.088987369,0.088987369,0.088987369,0.090141871,0.090141871,0.090141871,0.090141871,0.091302722,0.091302722,0.091302722,0.091302722,0.092469734,0.092469734,0.092469734,0.092469734,0.093642717,0.093642717,0.093642717,0.093642717,0.094821476,0.094821476,0.094821476,0.094821476,0.096005811,0.096005811,0.096005811,0.096005811,0.097195518,0.097195518,0.097195518,0.097195518,0.09839039,0.09839039,0.09839039,0.09839039,0.09839039,0.099590215,0.099590215,0.099590215,0.100794777,0.100794777,0.100794777,0.100794777,0.102003858,0.102003858,0.102003858,0.102003858,0.268720247,0.274939601,0.275296443,0.276987046,0.302749201,0.298531988,0.297287907,0.295364435,0.261799813,0.264304889,0.265862687,0.268061776,0.268061776,0.268061776
Occupy-Europe-South-America-Asia,0.083333333,0.083333333,0.082770271,0.082770271,0.082770271,0.082770271,0.083889744,0.083889744,0.083889744,0.083889744,0.085016603,0.085016603,0.085016603,0.085016603,0.084436404,0.084436404,0.084436404,0.084436404,0.085563744,0.085563744,0.085563744,0.085563744,0.086698131,0.086698131,0.086698131,0.086698131,0.087839397,0.087839397,0.087839397,0.087839397,0.088987369,0.088987369,0.088987369,0.088987369,0.090141871,0.090141871,0.090141871,0.090141871,0.091302722,0.091302722,0.091302722,0.091302722,0.092469734,0.092469734,0.092469734,0.092469734,0.093642717,0.093642717,0.093642717,0.093642717,0.094821476,0.094821476,0.094821476,0.094821476,0.096005811,0.096005811,0.096005811,0.096005811,0.097195518,0.097195518,0.097195518,0.097195518,0.09839039,0.09839039,0.09839039,0.09839039,0.09839039,0.099590215,0.099590215,0.099590215,0.100794777,0.100794777,0.100794777,0.100794777,0.102003858,0.102003858,0.102003858,0.102003858,0.194185403,0.190811988,0.191059642,0.192232944,0.193228226,0.194347338,0.193537429,0.192285229,0.144274647,0.142742063,0.143583377,0.144771029,0.144771029,0.144771029
Occupy-North-America-Africa,0.083333333,0.083333333,0.084459458,0.084459458,0.084459458,0.084459458,0.083889744,0.083889744,0.083889744,0.083889744,0.083316272,0.083316272,0.083316272,0.083316272,0.084436404,0.084436404,0.084436404,0.084436404,0.083852471,0.083852471,0.083852471,0.083852471,0.083264888,0.083264888,0.083264888,0.083264888,0.082673742,0.082673742,0.082673742,0.082673742,0.082079122,0.082079122,0.082079122,0.082079122,0.08148112,0.08148112,0.08148112,0.08148112,0.08087983,0.08087983,0.08087983,0.08087983,0.080275348,0.080275348,0.080275348,0.080275348,0.079667773,0.079667773,0.079667773,0.079667773,0.079057207,0.079057207,0.079057207,0.079057207,0.078443752,0.078443752,0.078443752,0.078443752,0.077827515,0.077827515,0.077827515,0.077827515,0.077208602,0.077208602,0.077208602,0.077208602,0.075664432,0.076587124,0.076587124,0.076587124,0.075963192,0.075963192,0.075963192,0.075963192,0.07533692,0.07533692,0.07533692,0.07533692,0.019221972,0.019651122,0.019283095,0.019013483,0.015190182,0.015278159,0.015848165,0.016729451,0.028074303,0.027787193,0.027939789,0.027607476,0.027607476,0.027607476
punit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOSER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conquer the continents of EUROPE and SOUTH AMERICA and a third continent of your choice., Turn 1, Turn 2, Turn 3, Turn 4, Turn 5, Turn 6, Turn 7, Turn 8, Turn 9, Turn 10, Turn 11, Turn 12, Turn 13, Turn 14, Turn 15, Turn 16, Turn 17, Turn 18, Turn 19, Turn 20, Turn 21, Turn 22, Turn 23, Turn 24, Turn 25, Turn 26, Turn 27, Turn 28, Turn 29, Turn 30, Turn 31, Turn 32, Turn 33, Turn 34, Turn 35, Turn 36, Turn 37, Turn 38, Turn 39, Turn 40, Turn 41, Turn 42, Turn 43, Turn 44, Turn 45, Turn 46, Turn 47, Turn 48, Turn 49, Turn 50, Turn 51, Turn 52, Turn 53, Turn 54, Turn 55, Turn 56, Turn 57, Turn 58, Turn 59, Turn 60, Turn 61, Turn 62, Turn 63, Turn 64, Turn 65, Turn 66, Turn 67, Turn 68, Turn 69, Turn 70, Turn 71, Turn 72, Turn 73, Turn 74, Turn 75, Turn 76, Turn 77, Turn 78, Turn 79, Turn 80, Turn 81, Turn 82, Turn 83, Turn 84, Turn 85, Turn 86, Turn 87, Turn 88, Turn 89, Turn 90, Turn 91, Turn 92
Occupy-Europe-Australia-Asia,0.083333333,0.083333333,0.083333333,0.082770271,0.082770271,0.082770271,0.082770271,0.082203507,0.082203507,0.082203507,0.082203507,0.081633122,0.081633122,0.081633122,0.081633122,0.081059199,0.081059199,0.081059199,0.081059199,0.08025148,0.08025148,0.08025148,0.08025148,0.08025148,0.079682646,0.079682646,0.079682646,0.079110455,0.079110455,0.079110455,0.079110455,0.079649596,0.079649596,0.079649596,0.079649596,0.080185132,0.080185132,0.080185132,0.080185132,0.080716991,0.080716991,0.080716991,0.080716991,0.079901739,0.079901739,0.079901739,0.079901739,0.079086652,0.079086652,0.079086652,0.079086652,0.078271897,0.078271897,0.078271897,0.078271897,0.077457638,0.077457638,0.077457638,0.077457638,0.076644042,0.076644042,0.076644042,0.076644042,0.075831274,0.075831274,0.075831274,0.075831274,0.075346714,0.075346714,0.075346714,0.075346714,0.074542558,0.074542558,0.074542558,0.074542558,0.073739494,0.073739494,0.073739494,0.072735701,0.026136982,0.026967156,0.027130816,0.027130816,0.021639689,0.021639689,0.021144534,0.021441082,0.026182031,0.026182031,0.026115,0.026293158,0.026293158
